総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイク	B順	スプリット	通過	ランラップ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
1	9174	三浦 喜明	46	男	神奈川	1:11:34	0:13:43	12	0:35:14	1	0:48:57	1	0:22:37	7	1		40代男子	1
2	9028	永堀 悟	30	男	神奈川	1:12:24	0:14:24	25	0:37:03	3	0:51:27	5	0:20:57	1	2		30代男子	1
3	9125	国ノ十 英考	43	男	愛知	1:13:03	0:14:19	22	0:36:40	2	0:50:59	3	0:22:04	4	3		40代男子	2
4	9004	田口 凪冬	17	男	埼玉	1:14:36	0:11:30	1	0:39:15	13	0:50:45	2	0:23:51	20	4		10代男子	1
5	9042	内海 敬大	32	男	神奈川	1:14:46	0:14:41	31	0:38:14	7	0:52:55	9	0:21:51	3	5		30代男子	2
6	9025	池田 啓介	30	男	東京	1:15:09	0:11:37	2	0:40:09	19	0:51:46	6	0:23:23	14	6		30代男子	3
7	9067	小宮 朋之	35	男	千葉	1:15:41	0:12:18	4	0:39:06	11	0:51:24	4	0:24:17	25	7		30代男子	4
8	9083	森岡 卓也	37	男	神奈川	1:15:52	0:13:57	16	0:39:28	14	0:53:25	11	0:22:27	6	8		30代男子	5
9	9090	古賀 拓	39	男	神奈川	1:16:19	0:14:25	26	0:38:22	8	0:52:47	8	0:23:32	16	9		30代男子	6
10	9099	山崎 武範	40	男	千葉	1:16:24	0:14:12	19	0:37:39	4	0:51:51	7	0:24:33	29	10		40代男子	3
11	9130	高木 博和	43	男	茨城	1:16:39	0:13:17	8	0:39:44	15	0:53:01	10	0:23:38	17	11		40代男子	4
12	9117	佐藤 為	42	男	東京	1:16:42	0:15:13	39	0:38:39	10	0:53:52	13	0:22:50	8	12		40代男子	5
13	9057	藤原 桂一郎	33	男	神奈川	1:17:23	0:16:09	57	0:37:48	6	0:53:57	14	0:23:26	15	13		30代男子	7
14	9003	大屋 智誠	17	男	神奈川	1:17:43	0:12:52	7	0:40:45	27	0:53:37	12	0:24:06	22	14		10代男子	2
15	9226	和島 知己	52	男	青森	1:18:03	0:14:18	21	0:40:41	26	0:54:59	18	0:23:04	11	15		50代男子	1
16	9087	廣谷 徳永	38	男	千葉	1:18:10	0:19:27	128	0:37:41	5	0:57:08	30	0:21:02	2	16		30代男子	8
17	9050	山中 貞治	32	男	東京	1:19:06	0:12:31	6	0:42:20	38	0:54:51	16	0:24:15	24	17		30代男子	9
18	9023	鈴木 広志	29	男	神奈川	1:19:13	0:14:26	27	0:40:27	23	0:54:53	17	0:24:20	27	18		20代男子	1
19	9001	岡村 太路	16	男	神奈川	1:20:05	0:13:43	11	0:41:38	34	0:55:21	20	0:24:44	32	19		10代男子	3
20	9124	池田 勉	43	男	東京	1:20:07	0:15:43	47	0:41:03	29	0:56:46	25	0:23:21	12	20		40代男子	6
21	9039	則本 達郎	31	男	神奈川	1:20:24	0:14:45	32	0:40:40	25	0:55:25	21	0:24:59	37	21		30代男子	10
22	9014	梅原 洋陽	28	男	神奈川	1:20:44	0:16:45	70	0:40:20	21	0:57:05	29	0:23:39	18	22		20代男子	2
23	9233	高橋 貞雄	53	男	茨城	1:20:47	0:16:11	58	0:38:25	9	0:54:36	15	0:26:11	54	23		50代男子	2
24	9161	北澤 純	46	男	神奈川	1:20:55	0:17:08	78	0:39:55	17	0:57:03	28	0:23:52	21	24		40代男子	7
25	9132	奈良 仁克	43	男	神奈川	1:21:01	0:16:01	54	0:39:12	12	0:55:13	19	0:25:48	48	25		40代男子	8
26	9178	小口 正人	47	男	神奈川	1:21:47	0:17:09	79	0:42:22	39	0:59:31	42	0:22:16	5	26		40代男子	9
27	9002	Louis Monville	16	男	東京	1:22:01	0:14:34	29	0:41:39	35	0:56:13	24	0:25:48	49	27		10代男子	4
28	9069	川端 悠史	36	男	神奈川	1:22:04	0:16:38	68	0:40:21	22	0:56:59	27	0:25:05	39	28		30代男子	11
29	9176	石原 輝治	47	男	東京	1:22:10	0:13:46	14	0:42:13	37	0:55:59	23	0:26:11	53	29		40代男子	10
30	9146	前田 賢司	44	男	東京	1:22:10	0:18:52	107	0:40:18	20	0:59:10	40	0:23:00	10	30		40代男子	11
31	9049	麦島 淳司	32	男	神奈川	1:22:27	0:13:52	15	0:41:38	33	0:55:30	22	0:26:57	72	31		30代男子	12
32	9080	日向 隼人	37	男	神奈川	1:22:32	0:17:06	76	0:41:17	31	0:58:23	35	0:24:09	23	32		30代男子	13
33	9199	境 広志	49	男	東京	1:23:08	0:14:59	36	0:43:22	46	0:58:21	33	0:24:47	34	33		40代男子	12
34	9034	小泉 瞬	31	男	神奈川	1:23:12	0:14:22	24	0:42:33	42	0:56:55	26	0:26:17	60	34		30代男子	14
35	9137	阿二 真樹	44	男	埼玉	1:23:17	0:17:06	77	0:41:17	32	0:58:23	36	0:24:54	35	35		40代男子	13
36	9065	池川 和毅	35	男	東京	1:23:37	0:17:25	82	0:39:46	16	0:57:11	31	0:26:26	64	36		30代男子	15
37	9101	和田 祐二	40	男	東京	1:24:37	0:16:44	69	0:44:54	62	1:01:38	55	0:22:59	9	37		40代男子	14
38	1013	庭 紗由巳	35	女	神奈川	1:24:48	0:17:15	80	0:42:26	41	0:59:41	43	0:25:07	41		1	30代女子	1
39	9148	宮城 信隆	44	男	神奈川	1:24:49	0:17:54	94	0:40:28	24	0:58:22	34	0:26:27	65	38		40代男子	15
40	9230	北山 毅	53	男	東京	1:24:55	0:17:52	93	0:40:55	28	0:58:47	37	0:26:08	52	39		50代男子	3
41	9164	佐藤 勲	46	男	東京	1:25:02	0:18:28	99	0:43:12	45	1:01:40	56	0:23:22	13	40		40代男子	16
42	9163	佐田 雅史	46	男	神奈川	1:25:15	0:15:59	52	0:42:11	36	0:58:10	32	0:27:05	74	41		40代男子	17
43	9227	阿部 功	53	男	神奈川	1:25:46	0:17:05	75	0:43:09	44	1:00:14	45	0:25:32	45	42		50代男子	4
44	9051	Alexander Joel Wright	32	男	神奈川	1:25:53	0:14:30	28	0:46:11	75	1:00:41	49	0:25:12	42	43		30代男子	16
45	9100	遊佐 隆信	40	男	福島	1:26:02	0:15:25	43	0:43:58	54	0:59:23	41	0:26:39	68	44		40代男子	18
46	9191	井上 愼介	48	男	埼玉	1:26:11	0:15:05	38	0:46:26	84	1:01:31	54	0:24:40	30	45		40代男子	19
47	9094	勝田 鉄心	40	男	神奈川	1:27:04	0:16:35	66	0:43:41	51	1:00:16	46	0:26:48	69	46		40代男子	20
48	9010	田村 亮太	26	男	千葉	1:27:18	0:12:19	5	0:46:45	91	0:59:04	39	0:28:14	98	47		20代男子	3
49	9152	坂本 俊一郎	45	男	東京	1:27:18	0:19:08	117	0:43:24	47	1:02:32	61	0:24:46	33	48		40代男子	21
50	9109	宮井 岳志	41	男	神奈川	1:27:20	0:19:18	124	0:43:44	52	1:03:02	69	0:24:18	26	49		40代男子	22
51	9085	富岡 聡文	38	男	神奈川	1:27:36	0:14:19	23	0:47:01	96	1:01:20	52	0:26:16	58	50		30代男子	17
52	9153	重川 達治	45	男	東京	1:27:44	0:17:49	89	0:42:51	43	1:00:40	48	0:27:04	73	51		40代男子	23
53	9169	土屋 博	46	男	埼玉	1:27:58	0:15:58	51	0:44:45	59	1:00:43	50	0:27:15	80	52		40代男子	24
54	9167	杉山 俊昭	46	男	神奈川	1:28:18	0:18:48	104	0:42:23	40	1:01:11	51	0:27:07	76	53		40代男子	25
55	9016	小丸 尭	28	男	神奈川	1:28:22	0:16:14	59	0:46:21	81	1:02:35	62	0:25:47	47	54		20代男子	4
56	9142	中川 隆志	44	男	東京	1:28:24	0:14:55	34	0:44:07	56	0:59:02	38	0:29:22	118	55		40代男子	26
57	9215	山崎 尚	50	男	東京	1:28:32	0:16:25	63	0:45:56	73	1:02:21	59	0:26:11	55	56		50代男子	5
58	9147	松本 恒一	44	男	埼玉	1:28:45	0:15:44	48	0:46:45	92	1:02:29	60	0:26:16	57	57		40代男子	27
59	9005	宮武 周平	21	男	東京	1:28:51	0:15:38	46	0:48:07	113	1:03:45	80	0:25:06	40	58		20代男子	5
60	9122	堀江 康彦	42	男	神奈川	1:29:08	0:22:35	220	0:40:09	18	1:02:44	64	0:26:24	62	59		40代男子	28
61	9155	末永 修	45	男	茨城	1:29:10	0:21:54	205	0:43:34	48	1:05:28	97	0:23:42	19	60		40代男子	29
62	9131	高橋 雄志	43	男	東京	1:29:15	0:16:14	60	0:48:39	124	1:04:53	92	0:24:22	28	61		40代男子	30
63	9047	富澤 裕敏	32	男	群馬	1:29:26	0:17:34	85	0:46:17	78	1:03:51	82	0:25:35	46	62		30代男子	18
64	9076	池田 薫	37	男	神奈川	1:29:37	0:13:44	13	0:46:15	76	0:59:59	44	0:29:38	124	63		30代男子	19
65	9018	水柿 康一	28	男	神奈川	1:29:44	0:22:22	215	0:41:14	30	1:03:36	77	0:26:08	51	64		20代男子	6
