総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
1	502	山本 一博	32	男	愛知県	2:14:29	0:27:25	11	1:07:51	2	1:35:16	3	0:39:13	1		1		30-34歳	
2	501	八田 益之	43	男	愛知県	2:18:24	0:25:54	6	1:10:37	7	1:36:31	5	0:41:53	6		2		40-44歳	
3	510	今枝 誠	42	男	愛知県	2:18:42	0:24:27	2	1:10:22	6	1:34:49	1	0:43:53	17		3		40-44歳	
4	504	近藤 高弘	34	男	愛知県	2:21:00	0:29:14	27	1:09:50	4	1:39:04	7	0:41:56	7		4		30-34歳	1
5	545	吉村 彰記	26	男	岐阜県	2:21:45	0:26:30	7	1:08:45	3	1:35:15	2	0:46:30	37		5		25-29歳	1
6	828	桑原 邦匡	50	男	愛知県	2:22:21	0:27:24	10	1:12:29	10	1:39:53	8	0:42:28	8		6		50-54歳	1
7	505	村越 好晴	45	男	愛知県	2:22:45	0:28:23	21	1:13:03	11	1:41:26	13	0:41:19	5		7		45-49歳	1
8	508	金野 統	39	男	静岡県	2:23:13	0:27:34	15	1:13:07	12	1:40:41	11	0:42:32	9		8		35-39歳	1
9	657	北村 祐樹	38	男	愛知県	2:23:37	0:29:10	25	1:13:38	15	1:42:48	17	0:40:49	2		9		35-39歳	2
10	959	倉内 千紘	25	女	愛知県	2:24:30	0:25:10	3	1:16:11	20	1:41:21	12	0:43:09	11			1	25-29歳	
11	507	加藤 幸行	40	男	愛知県	2:24:39	0:30:43	45	1:09:53	5	1:40:36	9	0:44:03	20		10		40-44歳	1
12	726	佐藤 光	43	男	三重県	2:25:45	0:34:40	99	1:07:17	1	1:41:57	16	0:43:48	13		11		40-44歳	2
13	509	牧 伸孝	47	男	愛知県	2:26:58	0:27:17	9	1:14:31	16	1:41:48	15	0:45:10	27		12		45-49歳	2
14	810	稲波 隆	49	男	愛知県	2:27:07	0:28:08	19	1:13:27	13	1:41:35	14	0:45:32	29		13		45-49歳	3
15	676	目良 幸久	39	男	愛知県	2:27:34	0:27:10	8	1:13:30	14	1:40:40	10	0:46:54	40		14		35-39歳	3
16	599	増川 裕亮	31	男	東京都	2:27:48	0:27:42	18	1:15:32	18	1:43:14	18	0:44:34	25		15		30-34歳	2
17	584	綿屋 茂男	30	男	岐阜県	2:27:51	0:25:40	5	1:10:59	8	1:36:39	6	0:51:12	65		16		30-34歳	3
18	585	竹元 優士	30	男	愛知県	2:28:46	0:27:26	12	1:16:35	21	1:44:01	20	0:44:45	26		17		30-34歳	4
19	506	三谷 健一	44	男	三重県	2:29:15	0:29:54	38	1:16:41	22	1:46:35	23	0:42:40	10		18		40-44歳	3
20	839	村瀬 浩	51	男	愛知県	2:34:07	0:32:57	62	1:17:01	24	1:49:58	28	0:44:09	21		19		50-54歳	2
21	560	勝又 信征	28	男	愛知県	2:34:08	0:29:59	40	1:17:44	25	1:47:43	25	0:46:25	35		20		25-29歳	2
22	969	竹元 久美子	32	女	愛知県	2:35:23	0:25:11	4	1:20:33	35	1:45:44	22	0:49:39	53			2	30-34歳	
23	707	村上 正浩	42	男	石川県	2:36:18	0:34:18	90	1:18:12	26	1:52:30	33	0:43:48	12		21		40-44歳	4
24	737	原田 博志	44	男	静岡県	2:37:12	0:27:29	14	1:16:05	19	1:43:34	19	0:53:38	82		22		40-44歳	5
25	593	福田 哲郎	30	男	愛知県	2:37:30	0:30:39	44	1:19:19	31	1:49:58	27	0:47:32	43		23		30-34歳	5
26	587	丹羽 正憲	30	男	愛知県	2:38:26	0:32:09	57	1:18:38	28	1:50:47	30	0:47:39	44		24		30-34歳	6
27	747	金田 芳輝	44	男	愛知県	2:39:23	0:34:31	94	1:21:03	36	1:55:34	47	0:43:49	15		25		40-44歳	6
28	608	菊谷 浩司	32	男	岐阜県	2:39:37	0:33:55	78	1:18:22	27	1:52:17	32	0:47:20	42		26		30-34歳	7
29	589	山田 隼次	30	男	愛知県	2:39:43	0:29:13	26	1:23:22	54	1:52:35	34	0:47:08	41		27		30-34歳	8
30	791	小田 立之	47	男	愛知県	2:39:50	0:31:29	49	1:22:19	47	1:53:48	37	0:46:02	32		28		45-49歳	4
31	866	鈴木 雅浩	54	男	愛知県	2:39:50	0:29:30	33	1:20:00	34	1:49:30	26	0:50:20	59		29		50-54歳	3
32	695	土持 康博	41	男	愛知県	2:40:22	0:33:21	68	1:25:53	73	1:59:14	65	0:41:08	4		30		40-44歳	7
33	665	柴田 哲宏	38	男	愛知県	2:40:27	0:28:29	22	1:19:08	30	1:47:37	24	0:52:50	78		31		35-39歳	4
34	821	三浦 浩登	50	男	愛知県	2:40:31	0:34:02	80	1:16:42	23	1:50:44	29	0:49:47	56		32		50-54歳	4
35	873	高田 晋司	55	男	愛知県	2:42:02	0:36:11	128	1:22:00	43	1:58:11	56	0:43:51	16		33		55-59歳	1
36	708	村松 智宏	42	男	愛知県	2:42:09	0:33:25	69	1:22:41	49	1:56:06	50	0:46:03	33		34		40-44歳	8
37	526	伊藤 秀真	22	男	愛知県	2:42:11	0:30:38	43	1:14:57	17	1:45:35	21	0:56:36	98		35		20-24歳	1
38	543	矢野 修作	26	男	愛知県	2:42:19	0:29:29	32	1:24:40	66	1:54:09	40	0:48:10	48		36		25-29歳	3
39	961	神野 奈津子	33	女	愛知県	2:44:47	0:36:25	133	1:22:07	44	1:58:32	59	0:46:15	34			3	30-34歳	
40	799	金子 智隆	48	男	愛知県	2:44:58	0:29:54	39	1:23:58	60	1:53:52	39	0:51:06	64		37		45-49歳	5
41	675	稲美 健二	39	男	愛知県	2:45:25	0:29:39	36	1:23:10	53	1:52:49	35	0:52:36	74		38		35-39歳	5
42	740	岡崎 博幸	44	男	愛知県	2:45:27	0:27:39	16	1:27:49	98	1:55:28	46	0:49:59	58		39		40-44歳	9
43	745	鵜野 恒行	44	男	愛知県	2:45:58	0:35:15	110	1:22:59	52	1:58:14	57	0:47:44	45		40		40-44歳	10
44	814	市川 博文	49	男	愛知県	2:46:02	0:29:16	28	1:24:33	65	1:53:49	38	0:52:13	72		41		45-49歳	6
45	596	細谷 康太	31	男	兵庫県	2:46:05	0:33:30	70	1:21:12	38	1:54:42	42	0:51:23	67		42		30-34歳	9
46	513	林 諒	19	男	愛知県	2:46:18	0:35:34	117	1:29:43	124	2:05:17	108	0:41:01	3		43		19歳以下	1
47	563	後田 敬太	28	男	愛知県	2:46:28	0:31:53	52	1:22:32	48	1:54:25	41	0:52:03	70		44		25-29歳	4
48	659	関屋 和俊	38	男	静岡県	2:46:35	0:30:50	46	1:24:17	63	1:55:07	44	0:51:28	68		45		35-39歳	6
49	679	西川 進	40	男	奈良県	2:46:46	0:36:44	140	1:26:14	78	2:02:58	88	0:43:48	14		46		40-44歳	11
50	533	横井 圭輔	24	男	愛知県	2:47:07	0:35:28	115	1:27:13	94	2:02:41	87	0:44:26	24		47		20-24歳	2
51	669	白井 尊康	39	男	静岡県	2:47:22	0:37:52	164	1:21:35	42	1:59:27	67	0:47:55	46		48		35-39歳	7
52	837	水野 賢一	51	男	愛知県	2:47:23	0:32:25	58	1:26:17	81	1:58:42	60	0:48:41	50		49		50-54歳	5
53	681	須原 啓	40	男	愛知県	2:47:36	0:34:21	92	1:19:25	32	1:53:46	36	0:53:50	84		50		40-44歳	12
54	850	因田 良幸	52	男	愛知県	2:48:11	0:29:22	30	1:28:06	103	1:57:28	55	0:50:43	60		51		50-54歳	6
55	756	亀山 大三	45	男	愛知県	2:48:19	0:34:39	97	1:26:58	87	2:01:37	78	0:46:42	39		52		45-49歳	7
