Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
1	1	北條 巧	博慈会、NTT東日本・NTT西日本/東京	1996	1:47:19	0:18:46	0:00:22	0:56:01	0:00:26	0:31:44
2	2	古谷 純平	三井住友海上/東京	1991	1:47:22	0:18:45	0:00:21	0:56:01	0:00:26	0:31:49
3	7	小田倉 真	三井住友海上/東京	1993	1:47:24	0:18:48	0:00:22	0:56:54	0:00:27	0:30:53
4	11	谷口 白羽	トヨタ車体/愛知	1994	1:48:13	0:18:49	0:00:22	0:55:57	0:00:25	0:32:40
5	5	内田 弦大	関西大学・滋賀レイクスターズ	1997	1:48:45	0:19:00	0:00:21	0:56:44	0:00:27	0:32:13
6	3	細田 雄一	博慈会/東京	1984	1:48:52	0:18:54	0:00:22	0:56:50	0:00:27	0:32:19
7	17	吉川 恭太郎	早稲田大学・ロンドスポーツ/東京	2000	1:49:19	0:18:46	0:00:24	0:56:00	0:00:27	0:33:42
8	12	前田 凌輔	三重県体育協会・ベルリオ/三重	1995	1:49:29	0:18:47	0:00:24	0:55:58	0:00:26	0:33:54
9	21	小原 北斗	流通経済大学	1998	1:49:40	0:18:56	0:00:24	0:56:47	0:00:29	0:33:04
10	4	石塚 祥吾	日本食研/愛媛	1989	1:50:11	0:18:53	0:00:22	0:56:49	0:00:24	0:33:43
11	14	古山 大	日本食研/愛媛	1995	1:50:55	0:18:56	0:00:25	0:56:43	0:00:24	0:34:27
12	8	安松 青葉	日本体育大学	1997	1:51:16	0:20:04	0:00:22	0:58:12	0:00:23	0:32:15
13	37	玉崎 稜也	早稲田大学	1998	1:51:29	0:20:05	0:00:23	0:58:09	0:00:24	0:32:28
14	18	梅田 祐輝	東京ハイリッジレーシング/東京	1985	1:51:44	0:20:03	0:00:25	0:58:12	0:00:28	0:32:36
15	9	阿部 有希	タカマコンペティションプロダクト/福島	1993	1:51:48	0:19:55	0:00:27	0:57:09	0:00:25	0:33:52
16	15	渡部 晃大朗	カンパニオ/千葉	1994	1:51:56	0:19:04	0:00:20	0:58:07	0:00:35	0:33:50
17	16	鋤﨑 隆也	さわかみホールディングス/千葉	1994	1:52:08	0:20:03	0:00:24	0:58:07	0:00:25	0:33:09
18	24	石関 玲於	早稲田大学・東京ヴェルディ	1998	1:52:18	0:19:51	0:00:24	0:58:19	0:00:27	0:33:17
19	10	山本 康貴	AS京都/京都	1996	1:52:26	0:18:53	0:00:20	0:56:52	0:00:25	0:35:56
20	23	長正 憲武	福島大学	1999	1:52:27	0:20:05	0:00:25	0:58:08	0:00:26	0:33:23
21	49	椿 浩平	東京都トライアスロン連合	1991	1:52:33	0:20:04	0:00:24	0:58:05	0:00:26	0:33:34
22	13	大谷 遼太郎	セガサミーホールディングス/東京	1990	1:52:53	0:20:32	0:00:22	0:59:43	0:00:28	0:31:48
23	27	寺澤 光介	佐藤興業・サニーフィッシュ/東京	1994	1:52:55	0:19:01	0:00:23	0:58:08	0:00:26	0:34:57
24	28	佐藤 謙太郎	群馬県トライアスロン協会	1991	1:53:08	0:20:05	0:00:22	0:58:09	0:00:27	0:34:05
25	31	外山 高広	東京ヴェルディ/東京	1983	1:53:26	0:19:53	0:00:25	0:58:22	0:00:28	0:34:18
26	33	榊原 利基	ANAシステムズ/神奈川	1994	1:53:31	0:20:04	0:00:22	0:58:13	0:00:28	0:34:24
27	6	佐藤 錬	福井県スポーツ協会/福井	1995	1:54:08	0:18:55	0:00:22	1:01:12	0:00:28	0:33:11
28	22	浅海 健太	緑眞会・サニーフィッシュ/神奈川	1994	1:54:20	0:19:55	0:00:24	0:58:17	0:00:27	0:35:17
29	25	岩本 敏	日本食研/愛媛	1996	1:54:25	0:18:49	0:00:25	1:01:20	0:00:25	0:33:26
30	39	甲斐 瑠夏	日本体育大学	2000	1:54:48	0:18:58	0:00:24	0:58:11	0:00:29	0:36:46
31	20	新田 城二	社会医療法人関愛会佐賀関病院/大分	1994	1:55:03	0:19:00	0:00:21	0:59:20	0:00:26	0:35:56
32	30	山下 陽裕	埼玉県トライアスロン連合	1993	1:55:17	0:19:03	0:00:22	0:59:12	0:00:35	0:36:05
33	46	大井 智仁	横浜国立大学	1998	1:56:13	0:20:33	0:00:24	0:59:34	0:00:32	0:35:10
34	26	小林 竜馬	流通経済大学	1997	1:56:16	0:20:06	0:00:23	1:00:05	0:00:30	0:35:12
35	42	前田 能宜	東海学園大学	1999	1:56:16	0:20:08	0:00:23	1:00:00	0:00:29	0:35:16
36	38	福島 旺	日本学園高等学校/東京	2001	1:56:23	0:19:27	0:00:21	0:58:51	0:00:26	0:37:18
37	41	平野 司	東京都トライアスロン連合	1983	1:56:23	0:18:59	0:00:21	0:59:26	0:00:29	0:37:08
38	32	末岡 瞭	東京都トライアスロン連合	1990	1:57:18	0:20:05	0:00:22	1:00:11	0:00:30	0:36:10
39	50	橋本 悠輝	近畿大学	1999	1:57:29	0:20:06	0:00:23	1:00:07	0:00:29	0:36:24
40	43	堀田 光輝	明治大学	1997	1:57:58	0:20:46	0:00:21	0:59:17	0:00:38	0:36:56
41	19	杉原 賞紀	日本旅行/茨城	1994	1:58:01	0:20:02	0:00:22	0:59:56	0:00:32	0:37:09
42	35	清水 祐谷	日本大学	1998	1:58:11	0:20:31	0:00:22	0:59:42	0:00:24	0:37:12
43	48	仲尾 俊祐	龍谷大学	1997	1:58:26	0:20:32	0:00:25	0:59:34	0:00:26	0:37:29
DNF	34	桶谷 祐輝	ベルリオ・ヤマツネ/島根	1988		0:19:29	0:00:28			
DNF	45	高橋 正俊	大阪府トライアスロン協会	1992		0:20:09	0:00:23			
