順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
1	509	田村 光	2:27:00	0:23:46	15	1:19:50	55	1:43:36	35	0:43:24	10	21
OPEN	501	酒井 絵美	2:43:04	0:33:16		1:18:59		1:52:15		0:50:49		OPEN
2	507	大熊 美結	2:43:41	0:23:26	14	1:21:21	69	1:44:47	37	0:58:54	114	59
3	511	Martin Sarah	2:47:40	0:31:53	127	1:23:56	85	1:55:49	91	0:51:51	58	74
4	519	佐藤 一葉	2:49:39	0:29:08	78	1:25:14	93	1:54:22	87	0:55:17	79	77
5	552	羽生 佐知子	2:51:54	0:28:08	66	1:29:57	126	1:58:05	100	0:53:49	70	84
6	515	フィンドレー 由香	3:00:40	0:30:10	100	1:30:51	130	2:01:01	120	0:59:39	123	115
7	510	岩田 文	3:01:39	0:24:21	20	1:32:15	142	1:56:36	97	1:05:03	170	119
8	533	中村 恵美	3:05:08	0:35:01	168	1:30:35	128	2:05:36	136	0:59:32	119	131
9	512	佐藤 佳乃	3:05:39	0:27:07	54	1:34:18	160	2:01:25	121	1:04:14	162	133
10	526	米山 直子	3:06:22	0:31:16	121	1:34:33	162	2:05:49	137	1:00:33	131	136
11	538	黒羽 美登里	3:09:52	0:36:43	195	1:37:36	180	2:14:19	190	0:55:33	80	143
12	508	真野 和美	3:10:45	0:26:24	40	1:33:49	156	2:00:13	115	1:10:32	203	151
13	523	山本 真紀恵	3:11:10	0:32:03	129	1:37:07	177	2:09:10	160	1:02:00	146	152
14	541	安藤 有希	3:12:08	0:34:29	160	1:38:14	188	2:12:43	179	0:59:25	118	154
15	542	古田 真子	3:13:41	0:32:43	139	1:37:42	182	2:10:25	165	1:03:16	155	159
16	514	佃 史絵	3:13:46	0:30:35	109	1:36:27	168	2:07:02	146	1:06:44	178	160
17	548	速見 利津子	3:18:29	0:35:20	173	1:39:22	195	2:14:42	194	1:03:47	159	177
18	553	岡澤 明日美	3:22:10	0:33:23	145	1:45:23	222	2:18:46	205	1:03:24	156	189
19	556	高田 里美	3:28:04	0:50:32	258	1:38:22	189	2:28:54	235	0:59:10	116	201
20	513	墨 さち枝	3:28:31	0:37:29	207	1:40:52	201	2:18:21	203	1:10:10	202	203
21	547	矢野 めぐみ	3:28:52	0:37:14	199	1:43:22	214	2:20:36	213	1:08:16	188	204
22	502	久森 由紀子	3:43:09	0:30:19	105	1:54:01	243	2:24:20	226	1:18:49	236	229
23	535	三國 怜佳	3:45:40	0:35:47	179	1:47:21	232	2:23:08	221	1:22:32	242	231
24	559	宮下 礼子	3:46:13	0:39:27	225	1:50:47	236	2:30:14	237	1:15:59	227	233
25	545	町田 俊子	3:51:39	0:39:10	221	1:56:30	249	2:35:40	245	1:15:59	227	240
26	532	柴井 あかね	3:53:20	0:34:51	165	1:56:33	250	2:31:24	240	1:21:56	240	242
27	540	金城 真実	3:54:02	0:42:43	247	1:56:36	251	2:39:19	250	1:14:43	223	243
28	525	八木原 悦子	4:02:14	0:29:27	82	1:52:59	242	2:22:26	218	1:39:48	260	249
29	534	竹内 裕子	4:11:00	0:35:44	177	2:03:40	258	2:39:24	251	1:31:36	255	252
30	557	吉田 典子	4:24:37	0:40:42	234	1:51:56	240	2:32:38	242	1:51:59	261	258
DNF	537	佐々木 直子		0:33:27	146							DNF
