	Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
yuichihosoda	1	3	細田雄一	博慈会（東京）	1984	1:51:58	0:17:39	0:01:00	0:59:18	0:00:31	0:33:30
	2	11	徳山哲平	早稲田大学・ロンドスポーツ	2002	1:52:46	0:17:40	0:01:01	0:59:19	0:00:27	0:34:19
shirubataniguchi	3	4	谷口白羽	三重県スポーツ協会	1994	1:52:50	0:17:34	0:01:02	0:59:22	0:00:24	0:34:28
	4	7	古山大	セクダム（茨城）	1995	1:52:53	0:17:40	0:01:01	0:59:17	0:00:24	0:34:31
kokiyamamoto	5	5	山本康貴	京都府トライアスロン協会	1996	1:53:19	0:17:37	0:01:00	0:59:23	0:00:25	0:34:54
	6	9	岩本敏	愛媛県トライアスロン協会	1996	1:53:25	0:17:42	0:01:05	1:00:57	0:00:26	0:33:15
	7	17	小原北斗	セクダム・チームエフォーツ（鳥取）	1998	1:54:26	0:18:13	0:01:01	1:00:28	0:00:29	0:34:15
	8	24	椿浩平	東京都トライアスロン連合	1991	1:54:51	0:18:41	0:01:06	0:59:56	0:00:28	0:34:40
	9	16	長正憲武	福島大学	1999	1:55:06	0:18:45	0:01:01	0:59:56	0:00:27	0:34:57
	10	8	阿部有希	タカマコンペティションプロダクト（福島）	1993	1:55:41	0:18:11	0:01:04	1:00:26	0:00:27	0:35:33
	11	22	小林祐也	日本大学	1999	1:55:51	0:18:25	0:01:03	1:00:12	0:00:25	0:35:46
	12	13	寺澤光介	東京都トライアスロン連合	1994	1:56:14	0:17:40	0:01:03	1:01:02	0:00:24	0:36:05
	13	34	甲斐瑠夏	日本体育大学	2000	1:57:16	0:18:16	0:01:03	1:00:17	0:00:28	0:37:12
	14	14	小林竜馬	龍ケ崎市役所（茨城）	1997	1:57:40	0:18:45	0:01:03	0:59:55	0:00:26	0:37:31
	15	12	望月満帆	トーシンパートナーズ・チームケンズ（山梨）	2000	1:58:01	0:17:05	0:01:03	0:59:51	0:00:26	0:39:36
	16	28	山下陽裕	埼玉県トライアスロン連合	1993	1:58:04	0:17:38	0:01:05	1:01:01	0:00:30	0:37:50
	17	20	山本良介	京都府トライアスロン協会	1979	1:58:20	0:18:46	0:01:02	0:59:53	0:00:26	0:38:13
	18	31	安藤勘太	流通経済大学	2001	1:58:28	0:18:12	0:01:01	1:00:31	0:00:46	0:37:58
	19	21	福島旺	日本体育大学	2001	1:58:29	0:17:37	0:01:00	1:01:08	0:00:22	0:38:22
kotarowatanabe	20	6	渡部晃大朗	稲毛インター（千葉）	1994	1:59:11	0:18:43	0:01:04	0:59:54	0:00:31	0:38:59
	21	23	浅海健太	東京都トライアスロン連合	1994	1:59:47	0:18:44	0:01:02	0:59:54	0:00:30	0:39:37
	22	18	小川颯斗	日本体育大学	1999	1:59:49	0:17:40	0:01:05	1:03:12	0:00:27	0:37:25
	23	10	外山高広	東京都トライアスロン連合	1983	1:59:52	0:19:27	0:01:04	1:03:03	0:00:27	0:35:51
	24	27	丸山敦生	愛知県トライアスロン協会	1996	2:00:22	0:19:18	0:01:07	1:02:45	0:00:33	0:36:39
	25	29	新田城二	大分県トライアスロン連合	1994	2:01:40	0:18:32	0:01:06	1:06:15	0:00:28	0:35:19
	26	19	枡田貴理丸	三重県トライアスロン協会	1996	2:01:52	0:19:24	0:01:02	1:03:07	0:00:43	0:37:36
	27	15	佐藤謙太郎	群馬県トライアスロン協会	1991	2:02:05	0:19:28	0:01:01	1:03:03	0:00:32	0:38:01
	DNF	25	富内檀	東京都トライアスロン連合	1994		0:17:33	0:01:06			
	LAP	26	花岡秀吾	日本体育大学	2000		0:20:30	0:01:09			
	LAP	30	滝沢進	新潟県トライアスロン連合	1991		0:20:23	0:01:18			
	LAP	32	森拳真	愛知県トライアスロン協会	1999		0:20:21	0:01:08			
