総合 順位	No.	氏名	年齢	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順
1	52	白石　怜佳	21	学連	2:14:25	0:23:13	1	1:11:26	2	1:34:39	1	0:39:46	2
2	51	松本　文佳	27	佐賀県	2:14:32	0:23:39	5	1:11:04	1	1:34:43	2	0:39:49	3
3	54	福島　弥生	35	福岡県	2:16:30	0:23:32	4	1:13:23	5	1:36:55	5	0:39:35	1
4	53	松田　菜央	29	鹿児島県	2:18:05	0:23:27	3	1:12:16	3	1:35:43	3	0:42:22	4
5	55	薬師　かれん	29	鹿児島県	2:24:20	0:24:57	6	1:15:15	10	1:40:12	6	0:44:08	5
6	63	松本　由衣	31	福岡県	2:25:17	0:26:53	10	1:13:21	4	1:40:14	7	0:45:03	6
7	56	上畑　真彩	18	鹿児島県	2:28:26	0:23:24	2	1:13:26	7	1:36:50	4	0:51:36	16
8	60	宇戸  ルル子	18	福岡県	2:31:34	0:26:42	8	1:13:37	8	1:40:19	8	0:51:15	15
9	68	黒木　李紅	20	学連	2:31:53	0:27:01	11	1:13:52	9	1:40:53	10	0:51:00	13
10	71	中村　真結	28	東京都	2:33:29	0:27:04	12	1:13:25	6	1:40:29	9	0:53:00	18
11	75	橋  英	25	宮崎県	2:33:54	0:30:18	19	1:18:11	15	1:48:29	16	0:45:25	7
12	64	野仲  典子	41	大分県	2:36:13	0:30:16	15	1:17:17	11	1:47:33	12	0:48:40	8
13	66	倉原  未波	25	熊本県	2:36:23	0:30:18	18	1:17:24	12	1:47:42	14	0:48:41	9
14	67	山内　実優	26	佐賀県	2:37:01	0:27:11	13	1:18:35	17	1:45:46	11	0:51:15	14
15	69	林田　碧	26	長崎県	2:37:17	0:30:16	16	1:17:25	13	1:47:41	13	0:49:36	10
16	61	森　奈津代	45	熊本県	2:38:06	0:28:45	14	1:19:01	18	1:47:46	15	0:50:20	11
17	58	春田　はな	18	福岡県	2:39:41	0:30:35	20	1:18:10	14	1:48:45	18	0:50:56	12
18	70	池田  千春	47	長崎県	2:40:26	0:30:17	17	1:18:18	16	1:48:35	17	0:51:51	17
19	59	合原  なずな	21	学連	2:45:26	0:26:38	7	1:22:36	20	1:49:14	19	0:56:12	20
20	65	西出　夏奈子	25	大分県	2:47:23	0:26:48	9	1:25:54	21	1:52:42	20	0:54:41	19
21	74	杉谷  由香里	45	長崎県	2:54:17	0:33:54	21	1:21:40	19	1:55:34	21	0:58:43	21
DNF	72	酒井　春奈	26	大分県									
DNF	73	阿部  淑子	44	大分県									
DNS	57	寺田　ひなた	18	長崎県									
DNS	62	髙木　琴々音	20	学連									
