順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	ハンデ記録	HC男	HC女
1	407	原田 哲弥	37	男	神奈川県	1:09:07	0:11:34	1	0:35:06	2	0:46:40	1	0:22:27	2	1		1:07:07	3	
2	402	川瀬 佑太	28	男	大 島	1:15:55	0:19:51	7	0:34:39	1	0:54:30	2	0:21:25	1	2		1:15:55	5	
3	414	境 広志	56	男	東京都	1:19:58	0:17:11	5	0:39:13	3	0:56:24	3	0:23:34	4	3		0:58:58	2	
4	501	香取 真奈	23	女	東京都	1:22:55	0:18:37	6	0:40:53	4	0:59:30	5	0:23:25	3		1	1:22:55		1
5	415	曽根 敏樹	68	男	東京都	1:28:15	0:16:57	3	0:42:14	5	0:59:11	4	0:29:04	8	4		0:55:15	1	
6	413	冨田 仁一郎	55	男	大 島	1:31:11	0:17:07	4	0:46:35	8	1:03:42	6	0:27:29	7	5		1:11:11	4	
7	405	オールド アレクサンダー	35	男	神奈川県	1:39:35	0:24:15	8	0:45:43	7	1:09:58	8	0:29:37	10	6		1:39:35	7	
8	504	萩原 友子	48	女	東京都	1:40:02	0:16:42	2	0:50:38	13	1:07:20	7	0:32:42	16		2	1:27:02		2
9	408	マクダッド マークステファン	39	男	京都府	1:41:00	0:26:08	9	0:44:27	6	1:10:35	9	0:30:25	11	7		1:37:00	6	
10	401	岩田 和也	24	男	愛知県	1:45:16	0:29:50	14	0:50:01	11	1:19:51	13	0:25:25	5	8		1:45:16	10	
11	410	武藤 靖	41	男	東京都	1:46:12	0:27:13	12	0:48:02	10	1:15:15	11	0:30:57	12	9		1:40:12	8	
12	409	Hallahan Kieran	40	男	東京都	1:46:18	0:26:17	11	0:47:56	9	1:14:13	10	0:32:05	14	10		1:41:18	9	
13	502	西村 有紗	32	女	奈良県	1:48:46	0:26:17	10	0:50:35	12	1:16:52	12	0:31:54	13		3	1:48:46		3
14	406	宮良 アレキサンダー真平	36	男	神奈川県	1:52:36	0:33:35	16	0:52:39	16	1:26:14	16	0:26:22	6	11		1:51:36	12	
15	404	佐久間 涼平	30	男	埼玉県	1:54:02	0:29:27	13	0:52:04	15	1:21:31	14	0:32:31	15	12		1:54:02	13	
16	412	杉山 博則	46	男	東京都	1:59:05	0:34:57	17	0:51:16	14	1:26:13	15	0:32:52	17	13		1:48:05	11	
17	503	原田 あい	45	女	神奈川県	2:02:56	0:31:35	15	1:01:47	17	1:33:22	17	0:29:34	9		4	1:52:56		4
DNF	505	バズリー かおり	51	女	東京都														
DNS	403	野上 和希	28	男	東京都														
DNS	411	Knebel Paul	42	男	東京都														
