順位	No.	氏名	都道府県	Swim	S順	T1	Bike	B順	スプリット	通過	Run	R順	総合記録
1	2	小田倉 真	東京都	0:26:07	2	0:00:54	2:45:24	1	3:12:25	1	1:19:47	1	4:32:12
2	8	寺澤 光介	東京都	0:26:08	3	0:01:17	2:52:11	2	3:19:36	2	1:26:09	3	4:45:45
3	5	榊原 佑基	千葉県	0:29:20	6	0:01:08	2:52:45	3	3:23:13	3	1:28:24	4	4:51:37
4	17	大畑 亮介	東京都	0:29:21	8	0:01:45	2:55:01	4	3:26:07	4	1:32:31	5	4:58:38
5	11	山岸 穂高	千葉県	0:33:34	15	0:01:42	3:00:40	7	3:35:56	9	1:25:03	2	5:00:59
6	15	フェラーリ シモン	大阪府	0:29:37	11	0:00:57	2:55:36	5	3:26:10	5	1:36:31	9	5:02:41
7	13	井辺 弘貴	和歌山県	0:30:41	12	0:01:06	2:59:06	6	3:30:53	6	1:35:13	8	5:06:06
8	16	牧野 巧	東京都	0:34:08	16	0:01:41	3:01:22	8	3:37:11	10	1:38:58	12	5:16:09
9	6	山本 昌孝	神奈川県	0:33:08	14	0:01:31	3:07:45	11	3:42:24	12	1:34:08	6	5:16:32
10	12	大石 一博	愛知県	0:29:36	10	0:00:59	3:02:26	9	3:33:01	7	1:43:44	13	5:16:45
11	4	川久保 直希	奈良県	0:29:23	9	0:01:09	3:08:52	12	3:39:24	11	1:38:01	11	5:17:25
12	10	前田 能宜	愛知県	0:27:54	5	0:01:02	3:18:18	14	3:47:14	14	1:36:40	10	5:23:54
13	7	滝沢 凜	東京都	0:29:20	7	0:01:03	3:21:31	15	3:51:54	15	1:35:00	7	5:26:54
14	9	古謝 孝明	北海道	0:27:54	4	0:01:07	3:04:33	10	3:33:34	8	1:58:15	15	5:31:49
15	18	吉村 彰記	愛知県	0:31:51	13	0:01:45	3:09:11	13	3:42:47	13	1:54:15	14	5:37:02
16	19	山本 幸大	愛知県	0:35:35	17	0:03:27	4:55:00	16	5:34:02	16	3:17:23	16	8:51:25
DNF	1	細田 雄一	千葉県	0:26:06	1	0:01:02							
DNS	3	浅海 健太	東京都										
DNS	14	菊池 朋明	東京都										
