総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
1	2014	湯村 天星	24	男	岐⾩	1:56:11	0:19:39	1	0:00:56	1:01:15	1	0:34:21	1	1		20-24男⼦		岐⾩県男⼦	1
2	2508	⼤倉 拓也	29	男	⼤阪	2:04:04	0:23:17	10	0:01:10	1:01:36	2	0:38:01	3	2		25-29男⼦			
3	2503	平林 毅郎	25	男	岐⾩	2:07:06	0:21:44	3	0:00:52	1:06:58	24	0:37:32	2	3		25-29男⼦		岐⾩県男⼦	2
4	3506	神⾕ 泰平	36	男	愛知	2:11:09	0:25:53	25	0:01:48	1:02:42	3	0:40:46	12	4		35-39男⼦	1		
5	2506	柴⽥ ⼤輔	26	男	神奈川	2:12:20	0:25:36	20	0:00:53	1:06:00	16	0:39:51	6	5		25-29男⼦	1		
6	2507	⼭下 幹⼈	28	男	愛知	2:14:46	0:22:44	9	0:00:52	1:08:33	40	0:42:37	19	6		25-29男⼦	2		
7	4005	湊 佳彦	41	男	愛知	2:14:53	0:30:40	96	0:01:18	1:03:03	4	0:39:52	7	7		40-44男⼦	1		
8	1802	神⾕ 怜央	19	男	愛知	2:14:58	0:21:57	7	0:01:28	1:07:59	35	0:43:34	28	8		18-19男⼦	1		
9	2509	⾦⼦ 健太	29	男	京都	2:15:13	0:30:21	93	0:01:18	1:03:47	9	0:39:47	5	9		25-29男⼦	3		
10	4505	服部 雅司	45	男	愛知	2:15:28	0:26:28	35	0:01:00	1:07:27	29	0:40:33	11	10		45-49男⼦	1		
11	3004	塩野 貴史	30	男	愛知	2:15:31	0:26:05	32	0:00:58	1:06:03	17	0:42:25	17	11		30-34男⼦	1		
12	2004	⽯坂 知裕	21	男	学連	2:15:55	0:31:19	106	0:00:52	1:03:30	6	0:40:14	9	12		20-24男⼦	1		
13	4013	淺井 邦⼈	43	男	静岡	2:16:00	0:24:52	15	0:01:13	1:04:14	11	0:45:41	47	13		40-44男⼦	2		
14	5509	森下 泰秀	56	男	三重	2:16:02	0:25:27	19	0:01:05	1:05:12	13	0:44:18	32	14		55-59男⼦	1		
15	1801	⼤倉 侑季	19	男	学連	2:17:08	0:27:28	49	0:00:52	1:08:23	38	0:40:25	10	15		18-19男⼦	2		
16	3509	名倉 和希	36	男	千葉	2:17:08	0:20:55	2	0:01:39	1:10:22	57	0:44:12	30	16		35-39男⼦	2		
17	301	⽯⽥ 凪帆	30	⼥	静岡	2:17:40	0:21:52	4	0:00:49	1:09:51	51	0:45:08	37		1	30-34⼥⼦			
18	5010	平岩 淳	51	男	愛知	2:17:58	0:24:34	12	0:01:01	1:05:54	15	0:46:29	55	17		50-54男⼦	1		
19	2501	下村 勇喜	25	男	⻑野	2:19:02	0:28:33	74	0:01:43	1:09:23	46	0:39:23	4	18		25-29男⼦	4		
20	3524	川森 康裕	39	男	三重	2:19:05	0:31:51	114	0:01:17	1:03:46	8	0:42:11	15	19		35-39男⼦	3		
21	5015	⼭元 正樹	51	男	静岡	2:19:20	0:27:41	56	0:01:22	1:03:41	7	0:46:36	56	20		50-54男⼦	2		
22	4516	伊藤 衛	47	男	三重	2:19:21	0:27:47	62	0:01:59	1:06:28	19	0:43:07	24	21		45-49男⼦	2		
23	6013	Ｓｈｒｏｓｂｒｅｅ Ｍａｒｋ	63	男	神奈川	2:19:29	0:28:38	75	0:01:03	1:06:40	21	0:43:08	25	22		60-64男⼦	1		
24	4524	林 英樹	48	男	京都	2:20:05	0:27:34	52	0:01:24	1:07:50	32	0:43:17	26	23		45-49男⼦	3		
25	3501	井上 博⼈	35	男	愛知	2:20:26	0:28:55	78	0:01:07	1:07:22	27	0:43:02	22	24		35-39男⼦	4		
26	5019	⾦井 ⼀⽣	52	男	愛知	2:20:42	0:27:30	50	0:01:44	1:03:53	10	0:47:35	66	25		50-54男⼦	3		
27	4022	斎藤 渉	44	男	⻑野	2:20:47	0:26:35	39	0:01:51	1:06:07	18	0:46:14	53	26		40-44男⼦	3		
28	2505	江草 幸⼀	26	男	愛知	2:20:56	0:25:54	26	0:01:03	1:07:53	33	0:46:06	52	27		25-29男⼦	5		
29	5522	稲波 隆	57	男	愛知	2:21:05	0:27:37	53	0:01:02	1:06:52	22	0:45:34	42	28		55-59男⼦	2		
30	5022	三⾕ 健⼀	52	男	三重	2:21:31	0:27:52	64	0:01:38	1:09:40	49	0:42:21	16	29		50-54男⼦	4		
31	5505	市川 仁史	56	男	愛知	2:21:32	0:27:19	47	0:01:39	1:09:11	44	0:43:23	27	30		55-59男⼦	3		
32	5502	佐藤 浩⼆	55	男	群⾺	2:21:56	0:27:53	65	0:01:30	1:05:20	14	0:47:13	60	31		55-59男⼦	4		
33	3507	⾕⼝ 滋彦	36	男	⼤阪	2:22:15	0:28:44	76	0:01:16	1:09:26	47	0:42:49	21	32		35-39男⼦	5		
34	4503	⽵村 浩和	45	男	兵庫	2:23:00	0:31:40	111	0:01:24	1:06:54	23	0:43:02	23	33		45-49男⼦	4		
35	4007	池⽥ 達彦	42	男	⼤阪	2:23:18	0:28:52	77	0:01:04	1:07:57	34	0:45:25	40	34		40-44男⼦	4		
36	1804	⼭⽥ 達	19	男	学連	2:23:55	0:26:33	37	0:00:53	1:10:26	59	0:46:03	51	35		18-19男⼦	3		
37	501	松本 華奈	50	⼥	島根	2:23:55	0:26:52	43	0:01:05	1:10:11	53	0:45:47	48		2	50-54⼥⼦			
38	2006	鈴⽊ 翔⾺	21	男	学連	2:24:08	0:25:39	21	0:01:44	1:08:29	39	0:48:16	73	36		20-24男⼦	2		
39	3002	神⾕ 拓図	30	男	岐⾩	2:24:18	0:26:01	30	0:02:44	1:09:17	45	0:46:16	54	37		30-34男⼦	2	岐⾩県男⼦	3
40	5025	柴⽥ 俊	53	男	岐⾩	2:24:40	0:25:50	23	0:02:12	1:11:12	65	0:45:26	41	38		50-54男⼦	5	岐⾩県男⼦	4
41	4024	⼾⽥ 琢	44	男	愛知	2:25:00	0:27:00	44	0:00:58	1:06:31	20	0:50:31	99	39		40-44男⼦	5		
42	4006	持⽥ 敬司	41	男	東京	2:25:46	0:31:00	101	0:02:06	1:07:29	30	0:45:11	38	40		40-44男⼦	6		
43	302	⼊江 紘⼦	34	⼥	沖縄	2:25:50	0:21:53	5	0:00:55	1:14:44	97	0:48:18	74		3	30-34⼥⼦			
44	4518	成⽥ 延久	47	男	愛知	2:26:16	0:27:46	61	0:01:31	1:08:35	41	0:48:24	75	41		45-49男⼦	5		
45	5503	⻄澤 正志	55	男	滋賀	2:26:23	0:27:04	45	0:01:33	1:09:53	52	0:47:53	71	42		55-59男⼦	5		
46	4525	冬野 智之	48	男	愛知	2:26:24	0:27:32	51	0:01:17	1:09:05	43	0:48:30	76	43		45-49男⼦	6		
47	3518	岩⽥ 寛紀	38	男	⼤阪	2:26:25	0:21:56	6	0:01:51	1:10:24	58	0:52:14	116	44		35-39男⼦	6		
48	5042	平⼭ 順⼀	51	男	⼤阪	2:26:30	0:32:44	128	0:01:51	1:11:50	73	0:40:05	8	45		50-54男⼦	6		
49	5032	井上 聡史	54	男	三重	2:26:36	0:24:58	16	0:02:14	1:07:24	28	0:52:00	112	46		50-54男⼦	7		
50	9001	稲葉 佑典	31	男	愛知	2:26:38	0:26:24	34	0:01:40	1:12:59	82	0:45:35	43	47		30-34男⼦	3		
51	3511	井端 啓輔	37	男	岐⾩	2:26:47	0:30:04	90	0:01:46	1:10:28	60	0:44:29	34	48		35-39男⼦	7	岐⾩県男⼦	5
52	4001	⼩嶋 隆三	40	男	静岡	2:27:13	0:30:13	91	0:02:17	1:09:44	50	0:44:59	36	49		40-44男⼦	7		
53	5012	福⽥ 忠晴	51	男	愛知	2:27:18	0:31:09	103	0:01:37	1:07:17	26	0:47:15	62	50		50-54男⼦	8		
54	3528	菅沼 智也	36	男	静岡	2:27:26	0:33:25	138	0:02:01	1:11:09	64	0:40:51	13	51		35-39男⼦	8		
55	5003	中村 拓稔	50	男	愛知	2:27:39	0:33:20	137	0:01:28	1:07:10	25	0:45:41	45	52		50-54男⼦	9		
56	202	藤⽥ 優⼦	24	⼥	富⼭	2:28:02	0:24:43	14	0:01:18	1:12:12	77	0:49:49	90		4	20-24⼥⼦	1		
57	3011	⽚岡 恭平	33	男	東京	2:28:07	0:31:06	102	0:02:07	1:10:29	61	0:44:25	33	53		30-34男⼦	4		
58	6009	⿊⽥ 孝	62	男	三重	2:28:09	0:26:35	38	0:01:47	1:07:39	31	0:52:08	115	54		60-64男⼦	2		
59	3010	⽊原 ⼤輔	32	男	愛知	2:28:35	0:28:03	66	0:01:38	1:11:18	68	0:47:36	67	55		30-34男⼦	5		
60	2013	柳川 太郎	23	男	愛知	2:28:39	0:26:03	31	0:03:13	1:13:36	89	0:45:47	49	56		20-24男⼦	3		
61	551	藤⽥ 智弥	55	⼥	富⼭	2:29:37	0:27:11	46	0:02:21	1:14:42	96	0:45:23	39		5	55-59⼥⼦	1		
62	455	久⽶ さやか	46	⼥	兵庫	2:29:53	0:27:44	57	0:01:12	1:13:44	90	0:47:13	61		6	45-49⼥⼦	1		
63	252	津守 響⼦	26	⼥	福岡	2:30:05	0:23:47	11	0:01:00	1:15:09	100	0:50:09	93		7	25-29⼥⼦	1		
64	3521	⾼梨 宏修	38	男	愛知	2:30:50	0:31:43	112	0:01:39	1:08:46	42	0:48:42	79	57		35-39男⼦	9		
65	5508	⻄⽥ 英樹	56	男	滋賀	2:31:07	0:31:30	107	0:01:51	1:10:35	63	0:47:11	59	58		55-59男⼦	6		
66	5013	松浦 将志	51	男	愛知	2:31:35	0:32:50	131	0:03:05	1:11:22	69	0:44:18	31	59		50-54男⼦	10		
67	4509	井⽥ 憲吾	46	男	⼤阪	2:31:40	0:28:57	79	0:02:48	1:08:16	37	0:51:39	109	60		45-49男⼦	7		
68	6006	豊⽥ 栄⼆	61	男	岐⾩	2:31:41	0:27:39	55	0:01:55	1:16:09	119	0:45:58	50	61		60-64男⼦	3	岐⾩県男⼦	6
69	253	中村 真結	29	⼥	熊本	2:32:15	0:24:41	13	0:01:08	1:10:18	56	0:56:08	151		8	25-29⼥⼦	2		
70	6016	柘植 孝之	63	男	愛知	2:32:30	0:31:13	104	0:01:43	1:11:43	71	0:47:51	70	62		60-64男⼦	4		
71	456	新⾕ 望恵	47	⼥	福井	2:32:32	0:27:46	60	0:00:59	1:14:26	93	0:49:21	87		9	45-49⼥⼦	2		
72	5029	平野 博明	53	男	三重	2:32:41	0:32:24	119	0:01:28	1:11:15	66	0:47:34	65	63		50-54男⼦	11		
73	5511	⼤⽥ 泰正	57	男	広島	2:32:50	0:32:34	125	0:02:30	1:10:14	55	0:47:32	64	64		55-59男⼦	7		
74	182	峠 和花奈	19	⼥	学連	2:33:01	0:27:51	63	0:01:01	1:21:20	159	0:42:49	20		10	18-19⼥⼦	1		
75	2011	⼤岩 佑輔	23	男	学連	2:33:10	0:26:29	36	0:00:51	1:23:22	175	0:42:28	18	65		20-24男⼦	4		
76	4510	植⽥ 喜彦	46	男	愛知	2:33:38	0:29:59	88	0:02:32	1:12:04	76	0:49:03	84	66		45-49男⼦	8		
77	3014	吉本 遼	33	男	愛知	2:34:11	0:30:18	92	0:02:56	1:09:35	48	0:51:22	108	67		30-34男⼦	6		
78	4521	熊崎 敦司	48	男	愛知	2:34:12	0:30:59	99	0:01:37	1:12:46	81	0:48:50	81	68		45-49男⼦	9		
79	6017	藤城 健	63	男	愛知	2:34:34	0:39:10	199	0:01:45	1:12:03	75	0:41:36	14	69		60-64男⼦	5		
80	251	⼩栗 梓	26	⼥	愛知	2:34:40	0:25:24	18	0:01:34	1:15:41	111	0:52:01	114		11	25-29⼥⼦	3		
81	181	鎌⽥ 瞳	19	⼥	学連	2:34:45	0:29:20	82	0:00:54	1:18:51	138	0:45:40	44		12	18-19⼥⼦	2		
82	4526	増澤 剛之	48	男	愛知	2:35:16	0:32:00	117	0:02:04	1:10:30	62	0:50:42	101	70		45-49男⼦	10		
83	5020	⽩井 稔	52	男	⼤阪	2:35:23	0:27:25	48	0:01:28	1:15:32	110	0:50:58	105	71		50-54男⼦	12		
84	5008	川村 ⿓太郎	51	男	愛知	2:35:24	0:35:39	163	0:01:27	1:10:14	54	0:48:04	72	72		50-54男⼦	13		
85	351	須崎 とも	37	⼥	東京	2:35:33	0:32:39	126	0:01:19	1:12:22	78	0:49:13	86		13	35-39⼥⼦	1		
86	6001	因⽥ 良幸	60	男	愛知	2:35:42	0:28:15	70	0:01:56	1:14:10	92	0:51:21	107	73		60-64男⼦	6		
87	4020	吉原 健⼆	43	男	⼤阪	2:36:19	0:31:50	113	0:02:39	1:17:11	128	0:44:39	35	74		40-44男⼦	8		
88	5517	⼤坪 隆	59	男	埼⽟	2:36:29	0:28:10	67	0:02:36	1:16:49	123	0:48:54	82	75		55-59男⼦	8		
89	3015	牧野 ⼀成	34	男	東京	2:37:00	0:35:03	158	0:01:57	1:13:00	83	0:47:00	58	76		30-34男⼦	7		
90	3517	森⽥ 正徳	37	男	岡⼭	2:37:20	0:29:21	83	0:02:29	1:08:07	36	0:57:23	161	77		35-39男⼦	10		
91	2012	⽊村 和央	23	男	愛知	2:37:31	0:29:25	84	0:02:14	1:11:16	67	0:54:36	135	78		20-24男⼦	5		
92	6012	宮本 泰弘	62	男	千葉	2:37:40	0:29:19	81	0:02:38	1:12:33	80	0:53:10	126	79		60-64男⼦	7		
93	4019	村上 貴彦	43	男	愛知	2:37:57	0:25:51	24	0:02:48	1:18:32	137	0:50:46	103	80		40-44男⼦	9		
94	5014	松⽥ 雅也	51	男	愛知	2:38:33	0:33:38	142	0:02:37	1:11:50	72	0:50:28	98	81		50-54男⼦	14		
95	3503	⻑⾕川 貴志	35	男	⼤阪	2:38:35	0:35:27	161	0:01:55	1:17:17	130	0:43:56	29	82		35-39男⼦	11		
96	2010	蕃 倫太郎	22	男	学連	2:38:56	0:38:23	191	0:00:00	1:13:50	91	0:46:43	57	83		20-24男⼦	6		
97	458	北吉 舞	49	⼥	奈良	2:39:25	0:28:14	69	0:01:26	1:18:31	136	0:51:14	106		14	45-49⼥⼦	3		
98	3516	藤井 和志	37	男	愛知	2:39:32	0:33:28	139	0:02:24	1:13:06	85	0:50:34	100	84		35-39男⼦	12		
99	3527	吉⽥ 悠太	39	男	岐⾩	2:39:37	0:30:27	94	0:01:33	1:19:06	142	0:48:31	77	85		35-39男⼦	13	岐⾩県男⼦	7
100	6014	⾼瀬 喜久	63	男	愛知	2:39:44	0:36:07	170	0:01:48	1:11:53	74	0:49:56	91	86		60-64男⼦	8		
