総合順位	No.	氏名	年齢	性別	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位
1	1167	jimmy boom	21	男	1:07:54	0:07:46	1	0:38:32	1	0:46:18	1	0:21:36	3	1	
2	1127	野坂 英男	47	男	1:08:43	0:09:33	9	0:39:44	2	0:49:17	2	0:19:26	1	2	
3	1118	下村 充	41	男	1:14:22	0:09:03	7	0:42:41	3	0:51:44	3	0:22:38	4	3	
4	1128	中西 一郎	48	男	1:15:39	0:11:34	33	0:43:37	5	0:55:11	8	0:20:28	2	4	
5	1140	小笠原 治	53	男	1:17:07	0:10:11	14	0:42:57	4	0:53:08	5	0:23:59	7	5	
6	1103	鈴木 陸也	26	男	1:20:04	0:08:02	2	0:46:33	13	0:54:35	6	0:25:29	12	6	
7	1122	岩井 太造	44	男	1:20:13	0:08:52	4	0:44:16	7	0:53:08	4	0:27:05	20	7	
8	1105	山田 郷	28	男	1:21:17	0:08:55	5	0:46:20	10	0:55:15	9	0:26:02	14	8	
9	1107	花山 頼生	28	男	1:21:27	0:11:11	27	0:44:05	6	0:55:16	10	0:26:11	15	9	
10	1117	内田 博己	38	男	1:21:41	0:11:14	29	0:46:25	11	0:57:39	12	0:24:02	8	10	
11	1133	堀 邦久	52	男	1:23:03	0:10:52	20	0:48:46	18	0:59:38	18	0:23:25	5	11	
12	1135	永久保 征和	53	男	1:23:49	0:10:51	18	0:45:58	9	0:56:49	11	0:27:00	17	12	
13	1114	松日樂 貴裕	36	男	1:24:42	0:12:51	50	0:46:30	12	0:59:21	17	0:25:21	11	13	
14	1126	池田 裕一	47	男	1:25:45	0:12:11	44	0:50:01	22	1:02:12	25	0:23:33	6	14	
15	1144	上村 健一郎	56	男	1:26:13	0:11:42	36	0:47:58	15	0:59:40	19	0:26:33	16	15	
16	1002	杉原 彩乃	30	女	1:26:30	0:08:14	3	0:50:02	23	0:58:16	13	0:28:14	29		1
17	1131	岩崎 猛朗	50	男	1:27:06	0:09:21	8	0:45:37	8	0:54:58	7	0:32:08	43	16	
18	1138	井上 善位	53	男	1:28:15	0:09:58	13	0:48:22	16	0:58:20	14	0:29:55	37	17	
19	1149	芳野 照久	58	男	1:28:23	0:12:07	41	0:46:34	14	0:58:41	15	0:29:42	35	18	
