Pos	StartNum	Name	Affiliation	YOB	U23	Time	Swim	T1	Bike	T2	Split	Run
1	6	高橋 侑子	相互物産/東京	1991		2:00:03	0:19:03	0:00:49	1:03:57	0:00:27	1:24:16	0:35:47
2	3	林 愛望	日本福祉大学・まるいち	2004	1	2:01:27	0:19:17	0:00:51	1:04:45	0:00:28	1:25:21	0:36:06
3	9	佐藤 優香	トーシンパートナーズ、NTT東日本・NTT西日本、チームケンズ/山梨	1992		2:02:22	0:19:18	0:00:55	1:03:42	0:00:33	1:24:28	0:37:54
4	2	酒井 美有	トーシンパートナーズ・チームケンズ/長野	1999		2:02:44	0:19:19	0:00:55	1:03:38	0:00:26	1:24:18	0:38:26
5	14	武中 香奈枝	トーシンパートナーズ・チームケンズ/山梨	2001	2	2:03:25	0:19:20	0:00:58	1:03:32	0:00:30	1:24:20	0:39:05
6	25	島崎 茉央	日本体育大学	2004	3	2:03:36	0:20:45	0:01:00	1:04:55	0:00:35	1:27:15	0:36:21
7	11	平泉 真心	流通経済大学	2003	4	2:04:10	0:19:37	0:01:00	1:05:05	0:00:29	1:26:11	0:37:59
8	12	林 彩夢	岡崎城西高校・まるいち/愛知	2006	5	2:04:19	0:20:24	0:00:54	1:05:23	0:00:31	1:27:12	0:37:07
9	8	佐藤 姫夏	市進ホールディングス/千葉	2001	6	2:04:32	0:19:30	0:00:51	1:05:21	0:00:34	1:26:16	0:38:16
10	1	中山 彩理香	アクサスホールディングス/東京	2000		2:05:02	0:20:05	0:00:51	1:04:45	0:00:29	1:26:10	0:38:52
11	18	一松 菜央	スサラ/鹿児島	1993		2:05:11	0:20:24	0:01:01	1:05:18	0:00:35	1:27:18	0:37:53
12	17	枡田 日菜果	アルファ/三重	2004	7	2:05:19	0:19:28	0:00:52	1:03:34	0:00:29	1:24:23	0:40:56
13	13	丹野 惠梨香	ゾーン・ボーマレーシング/埼玉	1989		2:05:26	0:20:29	0:01:00	1:05:11	0:00:31	1:27:11	0:38:15
14	16	杉原 有紀	滋賀県スポーツ協会/滋賀	1998		2:05:30	0:20:47	0:01:01	1:04:49	0:00:30	1:27:07	0:38:23
15	10	池野 みのり	SAGA SPORTS PYRAMID/佐賀	1997		2:05:33	0:19:03	0:00:51	1:04:00	0:00:30	1:24:24	0:41:09
16	15	菅家 成美	東京家政大学	2004	8	2:05:37	0:20:44	0:00:57	1:05:00	0:00:32	1:27:13	0:38:24
17	4	江田 佳子	東京ヴェルディ/東京	1993		2:06:17	0:20:17	0:00:56	1:05:22	0:00:30	1:27:05	0:39:12
18	24	山田 梓	ホーメックス・あすたま/島根	1996		2:06:26	0:20:20	0:01:00	1:05:20	0:00:29	1:27:09	0:39:17
19	44	瀬戸 郁美	順天堂大学・SUNNY FISH	2002	9	2:07:11	0:21:32	0:00:54	1:05:55	0:00:35	1:28:56	0:38:15
20	23	関 桃子	八海高校・アクシートライアスロンチーム/新潟	2006	10	2:07:39	0:20:21	0:01:01	1:05:22	0:00:36	1:27:20	0:40:19
21	36	藤坂 百恵	徳島県トライアスロン協会	1991		2:07:43	0:20:19	0:01:04	1:05:22	0:00:30	1:27:15	0:40:28
22	5	福岡 啓	オクタケグループ/福井	1994		2:07:58	0:20:05	0:00:52	1:04:44	0:00:26	1:26:07	0:41:51
23	21	野田 莉緒	流通経済大学	2005	11	2:08:01	0:20:23	0:00:58	1:05:23	0:00:32	1:27:16	0:40:45
24	19	関口 はるか	日本体育大学	1999		2:08:15	0:21:30	0:01:00	1:07:10	0:00:34	1:30:14	0:38:01
25	35	久保埜 南	東京都トライアスロン連合	1997		2:08:20	0:20:46	0:01:04	1:04:50	0:00:37	1:27:17	0:41:03
26	26	石田 凪帆	静岡県トライアスロン協会	1993		2:08:46	0:20:48	0:00:58	1:04:56	0:00:32	1:27:14	0:41:32
27	33	田村 光	理研ビタミン/埼玉	1997		2:08:54	0:21:33	0:00:54	1:05:54	0:00:41	1:29:02	0:39:52
28	27	柳原 咲	日本体育大学	2004	12	2:09:11	0:19:04	0:00:55	1:06:42	0:00:29	1:27:10	0:42:01
29	39	齋藤 椛凛	福島大学	2005	13	2:09:26	0:20:28	0:01:05	1:05:09	0:00:29	1:27:11	0:42:15
30	28	佐々木 麻瑚	立命館大学	2005	14	2:09:29	0:21:32	0:01:00	1:05:43	0:00:31	1:28:46	0:40:43
31	34	池口 いずみ	鳥取県トライアスロン協会	2000		2:09:31	0:20:25	0:00:56	1:05:24	0:00:31	1:27:16	0:42:15
32	38	甲斐 彩花	日本体育大学	2003	15	2:09:46	0:21:21	0:00:58	1:05:57	0:00:35	1:28:51	0:40:55
33	55	石橋 那七海	日本体育大学	2005	16	2:10:32	0:21:25	0:01:00	1:05:54	0:00:39	1:28:58	0:41:34
34	22	小原 結芽	立命館大学・チームエフォーツ	2004	17	2:10:41	0:21:04	0:01:00	1:06:10	0:00:33	1:28:47	0:41:54
