順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
1	49歳以下	257	米倉  亮太	ヨネクラ  リョウタ	2:09:56.013	1	0:21:13.276	3	0:02:45.757	1:03:47.386	4	0:01:47.730	0:40:21.864	8	35-39M	1	福岡県
2	49歳以下	214	立花 匠	タチバナ ショウ	2:10:52.743	2	0:19:24.664	1	0:02:28.099	1:07:13.052	15	0:01:45.885	0:40:01.043	7	20-24M	1	福岡県
3	49歳以下	346	小池  賢	コイケ  ケン	2:10:54.392	3	0:21:01.597	2	0:03:03.735	1:03:42.785	3	0:01:42.904	0:41:23.371	14	45-49M	1	千葉県
4	50歳代	431	野仲 勝彦	ノナカ カツヒコ	2:13:02.878	4	0:28:03.463	51	0:03:20.212	1:01:53.869	1	0:01:50.414	0:37:54.920	2	50-54M	1	大分県
5	49歳以下	221	石丸 遼	イシマル リョウ	2:13:12.042	5	0:22:49.251	8	0:02:46.163	1:04:55.223	8	0:01:44.910	0:40:56.495	13	25-29M	1	学連
6	50歳代	463	平井  淳也	ヒライ  ジュンヤ	2:16:02.775	6	0:24:34.562	17	0:03:00.041	1:04:33.484	6	0:01:42.008	0:42:12.680	19	50-54M	2	鹿児島県
7	49歳以下	240	内栫  将司	ウチカコイ  マサシ	2:16:07.417	7	0:22:05.584	4	0:02:57.111	1:08:10.140	23	0:02:02.200	0:40:52.382	12	30-34M	1	熊本県
8	49歳以下	252	末永  幸洋	スエナガ  ユキヒロ	2:16:19.011	8	0:27:13.172	40	0:03:08.527	1:04:32.643	5	0:01:46.355	0:39:38.314	4	35-39M	2	福岡県
9	49歳以下	288	松元 潤也	マツモト ジュンヤ	2:17:27.381	9	0:24:06.185	13	0:02:41.778	1:04:40.598	7	0:01:38.325	0:44:20.495	26	40-44M	1	宮崎県
10	50歳代	446	井手 善彦	イデ ヨシヒコ	2:18:19.727	10	0:24:41.076	20	0:03:24.699	1:07:38.859	20	0:01:51.463	0:40:43.630	10	50-54M	3	長崎県
11	50歳代	499	寺園 美智人	テラゾノ ミチト	2:18:22.455	11	0:24:33.896	16	0:03:13.716	1:07:12.319	14	0:01:50.261	0:41:32.263	16	55-59M	1	鹿児島県
12	49歳以下	263	村田  祐規	ムラタ  ユウキ	2:18:33.815	12	0:22:15.598	7	0:03:48.782	1:09:18.189	29	0:01:40.236	0:41:31.010	15	35-39M	3	熊本県
13	49歳以下	338	杉尾 秀章	スギオ ヒデアキ	2:20:11.833	13	0:28:24.840	55	0:02:55.497	1:07:37.274	18	0:01:32.366	0:39:41.856	5	45-49M	2	宮崎県
14	49歳以下	232	深野 雄大	フカノ ユウダイ	2:21:44.570	14	0:22:14.026	6	0:03:16.337	1:10:09.444	36	0:01:45.214	0:44:19.549	25	25-29M	2	福岡県
15	49歳以下	243	竹永 照二郎	タケナガ ショウジロウ	2:21:56.399	15	0:22:59.081	9	0:03:44.200	1:09:47.314	33	0:01:44.644	0:43:41.160	24	30-34M	2	大分県
16	49歳以下	353	岡本 和也	オカモト カズナリ	2:22:25.035	16	0:25:07.015	25	0:02:51.289	1:07:37.705	19	0:01:51.357	0:44:57.669	32	45-49M	3	佐賀県
17	49歳以下	273	松山 昌司	マツヤマ マサシ	2:22:27.810	17	0:27:12.791	39	0:03:02.736	1:07:34.146	17	0:01:50.376	0:42:47.761	21	35-39M	4	東京都
18	49歳以下	281	藤原 祐太	フジワラ ユウタ	2:23:06.110	18	0:27:25.242	44	0:02:47.709	1:05:25.136	9	0:02:07.630	0:45:20.393	33	35-39M	5	宮崎県
19	50歳代	447	清水 乾	シミズ ケン	2:23:14.277	19	0:26:17.754	32	0:03:29.718	1:02:31.631	2	0:02:24.212	0:48:30.962	54	50-54M	4	北海道
20	49歳以下	379	早川 博史	ハヤカワ ヒロフミ	2:24:02.496	20	0:25:57.171	30	0:02:58.954	1:08:51.351	26	0:02:36.386	0:43:38.634	23	45-49M	4	福岡県
21	49歳以下	254	西原  和宏	ニシハラ  カズヒロ	2:24:49.402	21	0:29:01.494	66	0:04:00.134	1:07:47.221	21	0:02:20.865	0:41:39.688	17	35-39M	6	福岡県
22	49歳以下	364	沼口 直人	ヌマグチ ナオト	2:24:51.009	22	0:32:13.889	106	0:04:24.626	1:08:13.753	24	0:01:55.645	0:38:03.096	3	45-49M	5	宮崎県
23	50歳代	419	日高 洋一	ヒダカ ヨウイチ	2:26:32.602	23	0:25:22.062	26	0:03:29.726	1:08:51.993	27	0:02:11.739	0:46:37.082	45	50-54M	5	宮崎県
24	49歳以下	228	黒尾丸 真季	クロオマル マサキ	2:27:05.182	24	0:22:59.413	10	0:02:53.995	1:12:17.521	63	0:01:53.855	0:47:00.398	47	25-29M	3	福岡県
25	49歳以下	343	藤嶋 司	フジシマ ツカサ	2:27:08.817	25	0:27:42.777	47	0:04:02.067	1:06:22.599	10	0:03:25.239	0:45:36.135	37	45-49M	6	大分県
26	49歳以下	378	田中  康志	タナカ  ヤスシ	2:27:15.842	26	0:24:30.445	15	0:03:24.926	1:09:36.006	32	0:02:25.845	0:47:18.620	50	45-49M	7	東京都
27	50歳代	410	井上 義彦	イノウエ ヨシヒコ	2:27:57.682	27	0:28:36.074	57	0:04:07.008	1:07:15.495	16	0:03:01.785	0:44:57.320	31	50-54M	6	福岡県
28	49歳以下	259	大平  和寛	オオヒラ  カズヒロ	2:28:14.505	28	0:30:30.980	88	0:04:13.869	1:10:57.262	45	0:01:44.795	0:40:47.599	11	35-39M	7	鹿児島県
29	49歳以下	318	門司  聖	モンジ  キヨシ	2:28:55.935	29	0:26:00.737	31	0:03:25.583	1:09:35.300	31	0:02:48.203	0:47:06.112	48	40-44M	2	福岡県
30	49歳以下	355	小林 知樹	コバヤシ トモキ	2:29:16.851	30	0:28:39.203	58	0:04:31.369	1:12:07.777	58	0:02:15.272	0:41:43.230	18	45-49M	8	福岡県
31	49歳以下	388	宇都 克博	ウト カツヒロ	2:29:53.763	31	0:25:27.503	27	0:03:56.423	1:07:59.378	22	0:02:24.058	0:50:06.401	67	45-49M	9	鹿児島県
32	49歳以下	216	末吉  秀旭	スエヨシ  ヒデアキ	2:30:09.266	32	0:25:41.476	29	0:04:03.886	1:06:36.591	11	0:02:46.195	0:51:01.118	74	20-24M	2	学連
33	50歳代	458	岡林 環樹	オカバヤシ タマキ	2:30:59.513	33	0:27:29.172	46	0:03:23.058	1:11:51.777	54	0:02:20.907	0:45:54.599	43	50-54M	7	宮崎県
34	49歳以下	241	前田  直也	マエダ  ナオヤ	2:31:46.627	34	0:30:01.285	82	0:05:30.350	1:10:47.590	40	0:02:34.592	0:42:52.810	22	30-34M	3	熊本県
35	49歳以下	220	西山 渓太	ニシヤマ ケイタ	2:32:04.980	35	0:28:39.864	59	0:03:56.512	1:11:27.034	52	0:02:13.670	0:45:47.900	40	25-29M	4	宮崎県
36	50歳代	507	西山 伸二	ニシヤマ シンジ	2:32:35.004	36	0:29:41.643	75	0:03:56.669	1:11:59.530	56	0:02:15.283	0:44:41.879	29	55-59M	2	宮崎県
37	49歳以下	340	倉岡 圭	クラオカ ケイ	2:32:42.224	37	0:31:35.486	100	0:05:18.714	1:06:54.695	12	0:02:59.332	0:45:53.997	42	45-49M	10	福岡県
38	49歳以下	299	秋山 勇太	アキヤマ ユウタ	2:32:59.317	38	0:32:29.772	116	0:04:52.835	1:08:40.349	25	0:02:28.354	0:44:28.007	27	40-44M	3	宮崎県
39	49歳以下	287	庄嵜  正裕	ショウザキ  マサヒロ	2:33:49.612	39	0:24:35.675	18	0:04:01.488	1:17:14.931	126	0:02:23.958	0:45:33.560	36	40-44M	4	福岡県
40	50歳代	452	佐野 友昭	サノ トモアキ	2:33:52.920	40	0:29:43.383	76	0:04:27.017	1:14:21.355	88	0:02:58.990	0:42:22.175	20	50-54M	8	福岡県
41	49歳以下	313	生田 正己	イクタ マサミ	2:34:05.636	41	0:22:08.309	5	0:04:20.734	1:13:36.002	75	0:03:05.952	0:50:54.639	72	40-44M	5	兵庫県
42	50歳代	429	稲田 裕仁	イナダ ヒロヒト	2:34:08.289	42	0:31:21.390	96	0:04:25.530	1:10:51.460	41	0:02:38.631	0:44:51.278	30	50-54M	9	宮崎県
43	50歳代	481	木村 航士	キムラ コウジ	2:34:08.529	43	0:24:19.209	14	0:05:20.778	1:22:25.643	207	0:02:21.013	0:39:41.886	6	50-54M	10	神奈川県
44	50歳代	516	田中 明彦	タナカ アキヒコ	2:34:34.084	44	0:27:24.744	43	0:05:17.403	1:14:13.965	86	0:02:16.896	0:45:21.076	34	55-59M	3	三重県
45	60歳以上	621	志田 哲也	シダ テツヤ	2:34:39.129	45	0:29:18.122	69	0:03:48.221	1:09:28.883	30	0:01:59.752	0:50:04.151	65	60-64M	1	東京都
46	49歳以下	398	山口 健太	ヤマグチ ケンタ	2:35:45.963	46	0:27:20.671	41	0:03:43.106	1:07:03.109	13	0:02:35.747	0:55:03.330	123	45-49M	11	熊本県
47	60歳以上	625	橋本  光弘	ハシモト  ミツヒロ	2:36:27.780	47	0:25:01.367	24	0:04:19.173	1:13:49.962	79	0:02:24.958	0:50:52.320	71	60-64M	2	熊本県
48	49歳以下	227	佐藤 颯人	サトウ ハヤト	2:36:48.800	48	0:33:01.407	125	0:03:51.964	1:12:08.741	59	0:02:22.547	0:45:24.141	35	25-29M	5	福岡県
49	49歳以下	394	荒 力	アラ チカラ	2:37:01.915	49	0:26:54.526	35	0:04:16.004	1:13:07.157	69	0:03:18.746	0:49:25.482	60	45-49M	12	大分県
50	50歳代	413	水町 英二	ミズマチ エイジ	2:37:13.577	50	0:30:09.008	86	0:05:35.183	1:14:06.570	83	0:02:44.885	0:44:37.931	28	50-54M	11	宮崎県
51	49歳以下	203	川坂 湧嗣	カワサカ ユウシ	2:37:18.762	51	0:30:44.506	92	0:04:15.406	1:22:09.906	203	0:02:35.467	0:37:33.477	1	20-24M	3	福岡県
52	50歳代	509	守部 丈博	モリベ タケヒロ	2:37:30.525	52	0:30:00.394	81	0:03:55.190	1:13:48.515	78	0:02:14.764	0:47:31.662	51	55-59M	4	宮崎県
53	49歳以下	239	古賀  健一	コガ  ケンイチ	2:37:35.577	53	0:33:01.826	126	0:04:34.924	1:17:08.114	123	0:02:09.910	0:40:40.803	9	30-34M	4	佐賀県
54	50歳代	464	村上 幸男	ムラカミ ユキオ	2:38:33.274	54	0:35:34.321	193	0:03:17.854	1:11:56.809	55	0:02:00.278	0:45:44.012	39	50-54M	12	長崎県
55	49歳以下	329	竹原 寛	タケハラ ヒロシ	2:39:06.221	55	0:27:27.765	45	0:04:12.178	1:15:45.216	108	0:02:27.383	0:49:13.679	59	40-44M	6	宮崎県
56	49歳以下	349	石丸  将義	イシマル  マサヨシ	2:39:25.737	56	0:24:56.865	23	0:04:51.599	1:15:02.037	97	0:02:45.866	0:51:49.370	83	45-49M	13	山口県
57	49歳以下	351	芝 敏貴	シバ トシタカ	2:39:56.355	57	0:33:50.082	150	0:05:39.428	1:09:03.468	28	0:02:35.667	0:48:47.710	57	45-49M	14	鹿児島県
58	49歳以下	296	田北 万世	タキタ マヨ	2:42:00.867	58	0:33:52.471	152	0:05:23.056	1:13:26.434	72	0:02:34.420	0:46:44.486	46	40-44M	7	大分県
59	50歳代	484	内野 基	ウチノ モトイ	2:42:20.993	59	0:28:25.243	56	0:04:04.920	1:17:30.137	129	0:02:35.876	0:49:44.817	62	55-59M	5	兵庫県
60	60歳以上	640	竹下 勝博	タケシタ カツヒロ	2:42:43.457	60	0:26:20.949	33	0:04:12.206	1:16:28.038	118	0:02:11.228	0:53:31.036	103	65-69M	1	鹿児島県
61	49歳以下	255	妻川 健介	ツマカワ ケンスケ	2:42:57.865	61	0:27:12.511	38	0:04:54.659	1:13:29.009	73	0:02:35.972	0:54:45.714	121	35-39M	8	大分県
62	49歳以下	380	河口 純一	カワグチ ジュンイチ	2:43:55.617	62	0:34:10.062	163	0:05:10.719	1:11:17.559	50	0:02:57.612	0:50:19.665	68	45-49M	15	福岡県
63	60歳以上	601	岩田 康志	イワタ ヤスシ	2:44:31.058	63	0:33:44.807	145	0:04:39.900	1:09:50.264	34	0:02:22.929	0:53:53.158	107	60-64M	3	京都府
64	49歳以下	231	児島 瑞基	コジマ ミズキ	2:44:55.960	64	0:28:12.287	53	0:04:29.063	1:14:38.379	91	0:03:07.758	0:54:28.473	117	25-29M	6	宮崎県
65	49歳以下	373	阿部 浩二	アベ コウジ	2:45:19.882	65	0:29:13.995	68	0:05:29.219	1:20:59.027	186	0:04:00.838	0:45:36.803	38	45-49M	16	大分県
66	49歳以下	258	大島  卓	オオシマ  スグル	2:45:32.898	66	0:38:13.461	239	0:05:39.871	1:10:56.790	44	0:03:24.308	0:47:18.468	49	35-39M	9	福岡県
67	50歳代	467	原口 哲也	ハラグチ テツヤ	2:46:03.973	67	0:29:39.580	71	0:05:33.702	1:10:55.689	43	0:04:30.916	0:55:24.086	127	50-54M	13	福岡県
68	49歳以下	204	平田 皓己	ヒラタ コウキ	2:46:05.114	68	0:30:05.326	85	0:04:48.624	1:15:53.022	110	0:02:45.443	0:52:32.699	91	20-24M	4	学連
69	49歳以下	219	高橋 宏治	タカハシ コウジ	2:46:57.494	69	0:34:09.170	161	0:05:32.844	1:14:38.753	92	0:02:35.959	0:50:00.768	64	25-29M	7	富山県
70	60歳以上	626	西田 真人	ニシダ マサト	2:47:09.500	70	0:29:08.369	67	0:04:22.206	1:13:23.105	70	0:02:33.829	0:57:41.991	144	60-64M	4	福岡県
71	49歳以下	371	米田 浩之	ヨネダ ヒロユキ	2:47:18.958	71	0:33:25.797	136	0:06:07.582	1:12:29.191	65	0:03:39.201	0:51:37.187	80	45-49M	17	宮崎県
72	50歳代	496	牧野 康伸	マキノ ヤスノブ	2:47:20.778	72	0:29:40.374	73	0:05:05.300	1:16:04.543	113	0:02:24.026	0:54:06.535	112	55-59M	6	宮崎県
73	49歳以下	222	廣瀬 拓巳	ヒロセ タクミ	2:47:37.274	73	0:33:49.358	149	0:04:33.099	1:15:16.038	101	0:02:11.954	0:51:46.825	82	25-29M	8	学連
74	49歳以下	284	中山 陽平	ナカヤマ ヨウヘイ	2:48:08.800	74	0:39:56.923	276	0:05:59.954	1:13:42.398	77	0:02:40.515	0:45:49.010	41	35-39M	10	鹿児島県
75	50歳代	489	坂本  憲治	サカモト  ケンジ	2:48:17.068	75	0:36:15.851	202	0:06:09.222	1:10:52.631	42	0:02:51.498	0:52:07.866	86	55-59M	7	熊本県
