順位	No.	氏名	都道府県	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	T2	ﾗﾝﾗｯﾌﾟ	総合記録	タイム差
1	1	丹野 惠梨香	埼玉県	0:21:49	0:00:51	1:05:19	0:01:25	0:41:36	2:11:00	
2	2	一松 菜央	鹿児島県	0:21:38	0:00:53	1:05:28	0:01:24	0:42:18	2:11:41	0:00:41
3	7	正垣 水梨	東京都	0:23:54	0:00:50	1:05:37	0:01:23	0:40:01	2:11:45	0:00:45
4	17	甲斐 彩花	東京都	0:22:36	0:00:54	1:04:32	0:01:30	0:43:25	2:12:57	0:01:57
5	16	藤坂 百恵	徳島県	0:22:02	0:00:58	1:05:03	0:01:31	0:43:51	2:13:25	0:02:25
6	5	江口 沙和	埼玉県	0:21:45	0:00:46	1:05:27	0:01:16	0:44:32	2:13:46	0:02:46
7	25	中村 寧花	福岡県	0:23:59	0:00:52	1:05:30	0:01:29	0:42:20	2:14:10	0:03:10
8	3	瀬戸 郁美	東京都	0:23:55	0:00:48	1:05:39	0:01:22	0:42:44	2:14:28	0:03:28
9	14	川本 悠乃	大阪府	0:21:46	0:00:46	1:05:26	0:01:18	0:45:47	2:15:03	0:04:03
10	15	酒井 優真	茨城県	0:20:59	0:00:55	1:06:07	0:01:29	0:45:48	2:15:18	0:04:18
11	8	長島 実桜	京都府	0:22:34	0:00:55	1:04:31	0:01:29	0:46:32	2:16:01	0:05:01
12	10	野田 優	和歌山県	0:22:53	0:00:52	1:06:36	0:01:24	0:44:35	2:16:20	0:05:20
13	9	平下 心	大阪府	0:21:51	0:00:53	1:05:25	0:01:27	0:47:08	2:16:44	0:05:44
14	18	近藤 小夏	東京都	0:22:34	0:00:55	1:04:35	0:01:30	0:47:12	2:16:46	0:05:46
15	12	上畑 真彩	福岡県	0:21:52	0:00:50	1:05:19	0:01:25	0:48:15	2:17:41	0:06:41
16	28	櫻井 唯	宮城県	0:23:56	0:00:54	1:05:33	0:01:30	0:46:33	2:18:26	0:07:26
17	19	野口 花音	兵庫県	0:22:01	0:00:58	1:05:12	0:01:33	0:49:52	2:19:36	0:08:36
18	23	山下 甘紅香	鳥取県	0:23:15	0:00:54	1:06:12	0:01:40	0:49:43	2:21:44	0:10:44
19	20	橋本 華	京都府	0:26:01	0:00:57	1:08:31	0:01:30	0:46:05	2:23:04	0:12:04
20	27	尾崎 ほの花	大阪府	0:26:07	0:00:54	1:08:25	0:01:35	0:46:43	2:23:44	0:12:44
21	11	川久保 恵里	奈良県	0:26:03	0:01:00	1:08:25	0:01:39	0:47:56	2:25:03	0:14:03
22	4	薬師 かれん	埼玉県	0:23:15	0:00:53	1:08:58	0:01:31	0:50:39	2:25:16	0:14:16
23	31	久米 さやか	兵庫県	0:26:14	0:00:57	1:08:08	0:01:29	0:49:18	2:26:06	0:15:06
24	21	荻野 瑛未	千葉県	0:24:03	0:00:52	1:10:36	0:01:48	0:51:50	2:29:09	0:18:09
25	29	増渕 日菜	東京都	0:24:03	0:01:02	1:10:30	0:01:30	0:52:59	2:30:04	0:19:04
26	33	林田 青空	京都府	0:24:04	0:00:55	1:10:35	0:01:39	0:54:25	2:31:38	0:20:38
27	6	河野 典子	大阪府	0:23:58	0:00:53	1:05:31	0:01:31	1:01:39	2:33:32	0:22:32
28	22	岡本 真依	宮城県	0:23:55	0:00:55	1:10:40	0:01:39	0:58:00	2:35:09	0:24:09
29	26	峠 和花奈	京都府	0:28:00	0:00:53	1:16:43	0:01:48	0:50:45	2:38:09	0:27:09
30	34	神谷 光代	京都府	0:34:32	0:01:06	1:18:58	0:01:38	0:53:25	2:49:39	0:38:39
31	30	鈴木 陽南子	宮城県	0:26:12	0:01:06	1:22:17	0:01:48	1:01:42	2:53:05	0:42:05
DNF	32	山嵜 佑莉愛	大阪府	0:24:05	0:01:07	1:18:10	0:01:49			
DNF	24	中野 咲桜	群馬県	0:26:11						
DNS	13	竹内 愛	東京都							
