Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
1	6	林愛望	日本福祉大学・まるいち	2004	0:59:19	0:10:18	0:00:19	0:31:28	0:00:19	0:16:55
2	33	ソフィー・マロウィエッキ	オーストラリア	1997	0:59:24	0:10:19	0:00:19	0:31:29	0:00:24	0:16:53
3	7	エッダ・ハンネスドッティル	アイスランド	1994	0:59:58	0:10:20	0:00:19	0:31:27	0:00:27	0:17:25
4	10	シアン・マンクス	オーストラリア	1999	1:00:13	0:10:29	0:00:19	0:31:15	0:00:24	0:17:46
5	1	酒井美有	トーシンパートナーズ・チームケンズ/長野	1999	1:00:18	0:10:15	0:00:17	0:31:33	0:00:20	0:17:53
6	12	平泉真心	流通経済大学	2003	1:00:35	0:10:34	0:00:19	0:31:10	0:00:22	0:18:10
7	5	佐藤姫夏	市進ホールディングス/千葉	2001	1:01:10	0:10:17	0:00:18	0:31:31	0:00:32	0:18:32
8	30	江口沙和	埼玉栄高校・プリメーラ/埼玉	2006	1:01:16	0:10:28	0:00:20	0:31:20	0:00:22	0:18:46
9	4	マナミ・イイジマ	グアム	1992	1:01:34	0:10:23	0:00:19	0:33:05	0:00:23	0:17:24
10	2	池野みのり	SAGA SPORTS PYRAMID/佐賀	1997	1:01:37	0:10:16	0:00:18	0:31:34	0:00:21	0:19:08
11	18	杉浦華夏	岡崎城西高校・まるいち/愛知	2007	1:01:59	0:10:52	0:00:22	0:32:30	0:00:24	0:17:51
12	15	タルラ・ライト	ホンコンチャイナ	2003	1:02:02	0:10:21	0:00:20	0:31:29	0:00:25	0:19:27
13	20	丹野惠梨香	ゾーン・ボーマレーシング/埼玉	1989	1:02:22	0:11:11	0:00:21	0:32:17	0:00:24	0:18:09
14	22	一松菜央	スサラ/鹿児島	1993	1:02:41	0:10:54	0:00:24	0:32:32	0:00:30	0:18:21
15	29	関口はるか	日本体育大学	1999	1:02:41	0:11:05	0:00:23	0:32:40	0:00:29	0:18:04
16	21	ジェイミー・ハーカー	カナダ	2004	1:02:46	0:10:17	0:00:19	0:31:28	0:00:26	0:20:16
17	3	江田佳子	東京ヴェルディ/東京	1993	1:02:46	0:10:16	0:00:20	0:33:12	0:00:23	0:18:35
18	16	林彩夢	岡崎城西学校・まるいち/愛知	2006	1:02:49	0:10:40	0:00:24	0:32:45	0:00:25	0:18:35
19	11	ヤン・イン・ヒルダ・チョイ	ホンコンチャイナ	1994	1:02:49	0:10:55	0:00:20	0:32:33	0:00:24	0:18:37
20	41	菅家成美	東京家政大学	2004	1:02:52	0:10:33	0:00:22	0:32:55	0:00:25	0:18:37
21	28	田中美沙樹	愛知県トライアスロン協会	1998	1:02:56	0:11:13	0:00:20	0:32:18	0:00:29	0:18:36
22	8	シャーロット・ホール	ホンコンチャイナ	2003	1:03:09	0:11:07	0:00:22	0:32:16	0:00:26	0:18:58
23	40	島崎茉央	日本大学櫻丘高等学校/東京	2004	1:03:28	0:11:10	0:00:21	0:34:15	0:00:24	0:17:18
24	19	シャーロット・ブラウン	ニュージーランド	2004	1:03:32	0:11:08	0:00:19	0:32:20	0:00:24	0:19:21
25	9	ケイド・ライト	ホンコンチャイナ	2003	1:03:35	0:10:44	0:00:19	0:32:41	0:00:23	0:19:28
26	24	小原結芽	立命館大学・チームエフォーツ	2004	1:03:52	0:11:07	0:00:21	0:32:23	0:00:26	0:19:35
27	14	エマ・オルソン・キーティング	オーストラリア	2004	1:04:02	0:10:52	0:00:18	0:32:33	0:00:23	0:19:56
28	42	柳原咲	日本体育大学	2004	1:04:21	0:10:14	0:00:26	0:33:06	0:00:26	0:20:09
29	26	瀬戸郁美	順天堂大学・SUNNY FISH	2002	1:04:37	0:11:16	0:00:19	0:34:09	0:00:23	0:18:30
30	23	関桃子	八海高校・アクシートライアスロンチーム/新潟	2006	1:05:19	0:10:52	0:00:23	0:34:30	0:00:27	0:19:07
31	36	舩木果南	日本体育大学	2002	1:05:25	0:10:21	0:00:24	0:33:06	0:00:26	0:21:08
32	31	佐々木麻瑚	立命館大学	2005	1:05:28	0:11:06	0:00:26	0:34:09	0:00:25	0:19:22
33	27	ペトラ・スタメノビッチ	ホンコンチャイナ	2008	1:05:50	0:11:08	0:00:21	0:34:18	0:00:24	0:19:39
34	38	石田凪帆	静岡県トライアスロン協会	1993	1:06:24	0:11:14	0:00:25	0:34:55	0:00:24	0:19:26
35	25	薬師かれん	ブエンテ/埼玉	1993	1:06:31	0:11:06	0:00:19	0:34:20	0:00:31	0:20:15
36	17	枡田日菜果	アルファ/三重	2004	1:06:56	0:10:44	0:00:22	0:35:24	0:00:27	0:19:59
37	43	アンソン・ルン	ホンコンチャイナ	2007	1:07:06	0:11:37	0:00:18	0:34:40	0:00:25	0:20:06
38	35	小野梨花	九州女子大学・TRASOL	2004	1:07:21	0:10:34	0:00:23	0:32:55	0:00:27	0:23:02
39	32	河野典子	Team Zenko/大阪	1993	1:07:24	0:11:35	0:00:19	0:34:44	0:00:30	0:20:16
40	37	ライ・キー・ニコル・マン	ホンコンチャイナ	2008	1:07:47	0:11:13	0:00:25	0:34:55	0:00:24	0:20:50
41	34	ワン・トン・ウォン	ホンコンチャイナ	2008	1:08:06	0:11:34	0:00:21	0:34:41	0:00:24	0:21:06
LAP	39	谷村帆夏	九州共立大学	2005		0:11:16	0:00:25			
LAP	44	正垣水梨	兵庫県トライアスロン協会/兵庫	2005		0:11:41	0:00:20			
