総合順位	No	チーム名	居住地	総合記録	スイム氏名	スイムラップ	S順	バイク氏名	バイクラップ	B順	スプリット通過	ラン氏名	ランラップ	R順
1	501	東京科学大東京理科大	千葉県	2:12:01	志賀 太哉	0:24:46	1	中林 基晃	1:07:49	3	1:32:35	桑原 知也	0:39:26	2
2	507	博慈会トライアスロンクラブ	千葉県	2:17:12	鈴木 圭亮	0:28:53	5	横田 智之	1:05:44	1	1:34:37	杉本 宏樹	0:42:35	5
3	503	JRTC_JGM	東京都	2:20:09	高澤 重倫	0:26:33	3	小川 篤	1:11:17	4	1:37:50	鈴木 亮祐	0:42:19	4
4	514	手賀沼の妖精	千葉県	2:35:04	須原 賢汰	0:36:45	15	松村 直人	1:16:59	5	1:53:44	三浦 聖也	0:41:20	3
5	519	ゴールしたら乾杯	東京都	2:40:36	椎名 勇介	0:33:09	8	渡邉 基	1:19:21	7	1:52:30	越前 春希	0:48:06	7
6	504	桐生朝練会	群馬県	2:43:51	長岡 光雄	0:35:13	11	多田 弘太	1:30:42	17	2:05:55	毒島 秀典	0:37:56	1
7	505	サタラン男子部(10年目)	千葉県	2:45:14	川村 徳央	0:30:38	7	会田 明徳	1:21:34	9	1:52:12	中林 剛	0:53:02	12
8	502	PC72	東京都	2:45:24	道端 智紀	0:26:00	2	古賀 太暁	1:24:15	14	1:50:15	鈴木 聖悟	0:55:09	13
9	512	アイシングシュガーズ	千葉県	2:45:43	徳倉 基宏	0:30:12	6	大曽根 友樹	1:19:28	8	1:49:40	千葉 貴公	0:56:03	14
10	513	KTC千代田連合	東京都	2:46:50	徳山 太	0:33:48	10	平野 博志	1:22:08	10	1:55:56	粟野 剛	0:50:54	8
11	511	手賀沼レーシング M・M・K	東京都	3:22:16	佐々木 勇	0:40:27	5	山崎 三郎	1:51:14	13	2:31:42	清水 雅	0:50:34	18
12	512	ホノチャレ17-17-19	東京都	4:02:59	高橋 三郎	0:48:35	5	清水 健	2:13:38	8	3:02:14	吉田 智	1:00:44	9
13	513	鎌ヶ谷高校野球部1軍	群馬県	4:05:27	山崎 明	0:49:05	17	松本 誠	2:14:59	9	3:04:05	加藤 博	1:01:21	17
14	514	鎌高野球部OB(2軍)	東京都	3:47:32	山本 正	0:45:30	11	山口 剛	2:05:08	14	2:50:39	鈴木 清	0:56:53	18
15	515	鎌高野球部OB(3軍)	千葉県	4:29:54	小林 智	0:53:58	14	井上 次郎	2:28:26	1	3:22:25	佐々木 光	1:07:28	12
16	516	G-STAR	茨城県	4:05:48	吉田 真	0:49:09	4	山口 博	2:15:11	6	3:04:21	松本 次郎	1:01:27	15
17	517	サン・アンド・サン トライアスロン隊	埼玉県	4:16:43	田中 健	0:51:20	9	鈴木 隆	2:21:11	16	3:12:32	山本 光	1:04:10	13
18	518	初めてのトライアスロン部	東京都	4:36:27	松本 智	0:55:17	3	渡辺 次郎	2:32:02	8	3:27:20	松本 博	1:09:06	7
