総合順位	No.	氏名	性別	都道府県	総合記録	スイムラップ	S順	ミニラン	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	区分	区分順位
1	14	正木 拓海	男	大阪府	02:04:39	00:07:27	6	00:03:27	01:14:09	1	01:25:03	1	00:39:36	1	1		男子20-29歳	
2	36	鈴木 貴弘	男	山形県	02:07:36	00:07:06	4	00:03:39	01:17:14	3	01:27:59	3	00:39:37	2	2		男子30-39歳	
3	9	菅 遼太朗	男	神奈川県	02:09:27	00:07:58	11	00:02:56	01:16:04	2	01:26:58	2	00:42:29	6	3		男子20-29歳	
4	18	後藤 洸太	男	神奈川県	02:14:25	00:09:08	27	00:02:52	01:22:41	4	01:34:41	5	00:39:44	3	4		男子20-29歳	1
5	53	伊藤 陽平	男	宮城県	02:20:44	00:07:03	3	00:03:18	01:24:00	6	01:34:21	4	00:46:23	19	5		男子20-29歳	2
OPEN	56	エース栗原	男		02:21:04	00:08:53		00:03:29	01:29:17		01:41:39		00:39:25				GUEST	
6	11	菊地 泰輔	男	東京都	02:21:08	00:07:01	1	00:02:56	01:24:46	7	01:34:43	6	00:46:25	20	6		男子20-29歳	3
7	22	中神 賢治	男	大阪府	02:21:29	00:10:48	45	00:05:31	01:23:48	5	01:40:07	9	00:41:22	4	7		男子20-29歳	4
8	30	内田 悠太	男	神奈川県	02:22:02	00:09:00	25	00:03:37	01:25:05	9	01:37:42	7	00:44:20	11	8		男子20-29歳	5
9	45	田中 宏樹	男	神奈川県	02:22:23	00:09:53	33	00:04:11	01:24:53	8	01:38:57	8	00:43:26	8	9		男子30-39歳	1
10	28	小林 正陽	男	東京都	02:24:31	00:07:52	8	00:03:06	01:31:49	15	01:42:47	14	00:41:44	5	10		男子20-29歳	6
11	15	川井 拓海	男	神奈川県	02:24:59	00:08:33	19	00:02:47	01:29:34	11	01:40:54	10	00:44:05	10	11		男子20-29歳	7
12	80	秋山 優	男	宮城県	02:25:57	00:08:49	21	00:03:35	01:29:52	12	01:42:16	13	00:43:41	9	12		男子40-49歳	1
13	25	勝又 慶	男	神奈川県	02:26:05	00:07:55	9	00:03:09	01:30:21	14	01:41:25	12	00:44:40	13	13		男子20-29歳	8
14	16	佐藤 春馬	男	神奈川県	02:27:13	00:10:09	36	00:03:52	01:29:53	13	01:43:54	15	00:43:19	7	14		男子20-29歳	9
15	3	藤井 亮輔	男	滋賀県	02:30:53	00:08:26	17	00:03:20	01:29:20	10	01:41:06	11	00:49:47	27	15		男子18-19歳	1
16	93	山口 俊輔	男	埼玉県	02:31:51	00:08:58	23	00:03:09	01:34:50	23	01:46:57	20	00:44:54	14	16		男子50-59歳	1
17	111	嶋谷 圭司	男	大阪府	02:32:14	00:08:06	16	00:03:46	01:32:32	18	01:44:24	16	00:47:50	23	17		男子50-59歳	2
18	5	井出 大飛	男	宮城県	02:33:07	00:10:42	43	00:05:02	01:32:56	20	01:48:40	23	00:44:27	12	18		男子18-19歳	2
19	10	西 涼平	男	神奈川県	02:33:39	00:08:05	15	00:04:36	01:35:38	24	01:48:19	21	00:45:20	16	19		男子20-29歳	10
20	20	大谷 俊翔	男	東京都	02:33:39	00:07:02	2	00:03:13	01:36:00	25	01:46:15	19	00:47:24	22	20		男子20-29歳	11
21	55	佐藤 功基	男	宮城県	02:37:20	00:10:38	42	00:04:23	01:37:25	26	01:52:26	28	00:44:54	15	21		男子18-19歳	3
22	17	和田 光世	男	広島県	02:37:42	00:08:32	18	00:03:11	01:34:19	22	01:46:02	18	00:51:40	31	22		男子20-29歳	12
23	44	Hansel Adrien	男	東京都	02:37:47	00:10:01	34	00:06:19	01:32:16	16	01:48:36	22	00:49:11	24	23		男子30-39歳	2
24	2	平井 亜優樹	男	神奈川県	02:38:06	00:10:54	47	00:03:58	01:37:42	27	01:52:34	29	00:45:32	17	24		男子18-19歳	4
25	13	野沢 広一郎	男	神奈川県	02:39:37	00:07:23	5	00:03:29	01:33:56	21	01:44:48	17	00:54:49	36	25		男子20-29歳	13
26	90	佐藤 正人	男	山形県	02:39:55	00:11:17	53	00:04:24	01:38:16	29	01:53:57	31	00:45:58	18	26		男子40-49歳	2
27	130	沢田 秀二	男	宮城県	02:40:12	00:08:40	20	00:04:11	01:38:09	28	01:51:00	25	00:49:12	25	27		男子60-69歳	1
28	41	有冨 弘朗	男	神奈川県	02:40:51	00:08:04	14	00:04:26	01:41:23	33	01:53:53	30	00:46:58	21	28		男子30-39歳	3
29	54	野川 七海	女	宮城県	02:41:27	00:07:46	7	00:03:12	01:39:05	30	01:50:03	24	00:51:24	30		1	女子20-29歳	
30	121	大東 正樹	男	新潟県	02:43:43	00:12:07	67	00:06:53	01:32:18	17	01:51:18	26	00:52:25	33	29		男子60-69歳	2
31	110	竹内 源人	男	新潟県	02:48:58	00:10:36	41	00:06:42	01:42:19	36	01:59:37	38	00:49:21	26	30		男子50-59歳	3
32	49	木村 洋平	男	東京都	02:50:01	00:14:12	87	00:04:50	01:32:47	19	01:51:49	27	00:58:12	49	31		男子40-49歳	3
33	99	福島 一彦	男	福島県	02:50:18	00:09:37	32	00:04:01	01:44:11	39	01:57:49	35	00:52:29	34	32		男子50-59歳	4
34	39	西岡 秀治	男	広島県	02:51:06	00:11:20	55	00:06:41	01:41:43	34	01:59:44	39	00:51:22	29	33		男子30-39歳	4
35	87	羽根田 一真	男	東京都	02:52:22	00:09:10	28	00:06:24	01:39:47	31	01:55:21	32	00:57:01	41	34		男子40-49歳	4
36	114	大平 晃司	男	埼玉県	02:52:59	00:10:56	48	00:04:33	01:41:48	35	01:57:17	33	00:55:42	37	35		男子50-59歳	5
37	52	大東 瑠美	女	新潟県	02:54:28	00:10:33	39	00:07:05	01:44:34	41	02:02:12	42	00:52:16	32		2	女子40-49歳	
38	29	松本 愛未	女	千葉県	02:54:35	00:07:56	10	00:04:15	01:51:48	56	02:03:59	46	00:50:36	28		3	女子20-29歳	
39	129	日下部 朋久	男	千葉県	02:55:26	00:09:03	26	00:05:04	01:44:20	40	01:58:27	36	00:56:59	40	36		男子60-69歳	3
40	38	山本 輝	男	山形県	02:55:48	00:10:19	37	00:05:46	01:41:17	32	01:57:22	34	00:58:26	51	37		男子30-39歳	5
41	94	根岸 義博	男	秋田県	02:56:38	00:10:03	35	00:05:25	01:43:45	38	01:59:13	37	00:57:25	45	38		男子50-59歳	6
42	1	渡邉 剣士朗	男	東京都	02:57:16	00:08:00	12	00:05:13	01:48:00	47	02:01:13	41	00:56:03	39	39		男子18-19歳	5
43	50	高木 丈	男	山形県	03:00:47	00:11:07	51	00:06:23	01:46:12	43	02:03:42	44	00:57:05	43	40		男子40-49歳	5
44	122	佐々木 裕一	男	埼玉県	03:01:31	00:09:16	30	00:04:20	01:46:50	44	02:00:26	40	01:01:05	58	41		男子60-69歳	4
45	105	小林 正徳	男	千葉県	03:01:56	00:08:51	22	00:05:03	01:50:37	54	02:04:31	47	00:57:25	44	42		男子50-59歳	7
46	23	古谷 日和子	女	滋賀県	03:02:40	00:10:59	49	00:04:59	01:50:47	55	02:06:45	50	00:55:55	38		4	女子20-29歳	1
47	123	田所 洋貴	男	茨城県	03:03:51	00:11:33	60	00:07:12	01:45:05	42	02:03:50	45	01:00:01	55	43		男子60-69歳	5
48	108	柳沼 直彦	男	福島県	03:05:02	00:11:38	63	00:06:35	01:47:53	46	02:06:06	48	00:58:56	53	44		男子50-59歳	8
49	104	宇山 宏樹	男	埼玉県	03:05:08	00:11:24	57	00:07:15	01:49:26	51	02:08:05	54	00:57:03	42	45		男子50-59歳	9
50	115	堀 幸司	男	山形県	03:07:51	00:12:54	77	00:08:01	01:47:04	45	02:07:59	53	00:59:52	54	46		男子50-59歳	10
51	98	漆山 敬人	男	山形県	03:08:22	00:11:18	54	00:07:43	01:56:03	65	02:15:04	65	00:53:18	35	47		男子50-59歳	11
52	88	坂口 修	男	宮城県	03:08:35	00:09:14	29	00:08:08	01:49:12	49	02:06:34	49	01:02:01	60	48		男子40-49歳	6
53	34	とししげ けんた	男	長崎県	03:09:11	00:12:53	75	00:06:49	01:42:38	37	02:02:20	43	01:06:51	71	49		男子30-39歳	6
54	85	多田 純子	女	宮城県	03:12:32	00:16:05	94	00:05:54	01:52:34	59	02:14:33	61	00:57:59	48		5	女子40-49歳	1
55	73	冨澤 弘太郎	男	山形県	03:13:17	00:12:01	66	00:06:49	01:48:10	48	02:07:00	51	01:06:17	69	50		男子40-49歳	7
56	43	齋藤 秀嘉	男	宮城県	03:14:14	00:11:47	64	00:07:55	01:56:52	66	02:16:34	66	00:57:40	47	51		男子30-39歳	7
57	106	昆 喜知郎	男	新潟県	03:15:34	00:10:49	46	00:06:23	01:57:27	69	02:14:39	62	01:00:55	57	52		男子50-59歳	12
58	83	関口 慎一	男	千葉県	03:15:50	00:12:19	71	00:08:45	01:49:16	50	02:10:20	56	01:05:30	68	53		男子40-49歳	8
59	89	諏訪 学顕	男	千葉県	03:18:08	00:14:37	89	00:09:42	01:50:12	53	02:14:31	60	01:03:37	63	54		男子40-49歳	9
60	118	安井 圭一	男	新潟県	03:18:15	00:10:21	38	00:05:54	01:52:17	57	02:08:32	55	01:09:43	78	55		男子50-59歳	13
61	133	元木 義秋	男	山形県	03:18:36	00:12:22	72	00:05:43	01:49:39	52	02:07:44	52	01:10:52	80	56		男子60-69歳	6
62	32	宮地 俊輔	男	東京都	03:20:31	00:11:34	61	00:06:30	02:01:45	72	02:19:49	70	01:00:42	56	57		男子20-29歳	14
63	71	エイムズ アンドリュークラーク	男	宮城県	03:23:33	00:11:22	56	00:07:45	02:01:47	73	02:20:54	71	01:02:39	61	58		男子40-49歳	10
64	82	長谷川 慎也	男	沖縄県	03:23:41	00:15:02	91	00:07:13	01:52:35	60	02:14:50	64	01:08:51	74	59		男子40-49歳	11
65	103	竹田 東	男	東京都	03:23:45	00:11:56	65	00:09:13	01:53:33	62	02:14:42	63	01:09:03	75	60		男子50-59歳	14
66	128	鈴木 基則	男	埼玉県	03:23:47	00:11:11	52	00:05:52	02:02:06	74	02:19:09	69	01:04:38	65	61		男子60-69歳	7
67	51	伊豆田 一	男	神奈川県	03:24:00	00:10:34	40	00:08:38	01:52:48	61	02:12:00	57	01:12:00	83	62		男子40-49歳	12
68	48	細田 大造	男	秋田県	03:24:23	00:13:42	86	00:05:07	01:54:58	64	02:13:47	59	01:10:36	79	63		男子40-49歳	13
69	95	三浦 健二	男	東京都	03:25:28	00:12:10	69	00:08:42	01:56:53	67	02:17:45	68	01:07:43	72	64		男子50-59歳	15
70	6	増山 麗雄	男	東京都	03:25:37	00:10:47	44	00:05:41	02:00:34	70	02:17:02	67	01:08:35	73	65		男子18-19歳	6
71	76	千葉 知代	女	宮城県	03:25:39	00:16:35	96	00:06:38	02:03:32	76	02:26:45	76	00:58:54	52		6	女子40-49歳	2
72	117	中島 直	男	宮城県	03:26:14	00:12:08	68	00:07:46	01:52:19	58	02:12:13	58	01:14:01	85	66		男子50-59歳	16
73	96	打越 三紀恵	女	東京都	03:26:18	00:13:25	82	00:05:48	02:09:35	83	02:28:48	79	00:57:30	46		7	女子50-59歳	1
74	84	西川 美ゆき	女	東京都	03:30:54	00:11:33	59	00:06:46	02:07:50	81	02:26:09	75	01:04:45	66		8	女子40-49歳	3
75	101	吉田 一正	男	秋田県	03:33:31	00:13:32	83	00:12:06	02:04:39	78	02:30:17	81	01:03:14	62	67		男子50-59歳	17
76	75	芳川 宗隆	男	宮城県	03:33:47	00:12:54	76	00:08:11	02:06:16	80	02:27:21	77	01:06:26	70	68		男子40-49歳	14
77	100	柴田 健	男	宮城県	03:34:23	00:11:02	50	00:07:59	02:03:58	77	02:22:59	74	01:11:24	82	69		男子50-59歳	18
78	31	小谷部 広大	男	東京都	03:35:54	00:20:13	100	00:09:34	02:01:03	71	02:30:50	82	01:05:04	67	70		男子20-29歳	15
79	33	小林 弘典	男	東京都	03:38:30	00:11:32	58	00:08:38	02:08:39	82	02:28:49	80	01:09:41	77	71		男子20-29歳	16
80	134	森 秀美	男	青森県	03:38:55	00:17:03	98	00:10:18	01:54:52	63	02:22:13	73	01:16:42	88	72		男子70-79歳	1
81	86	須田 深雪	女	東京都	03:41:46	00:13:00	79	00:08:44	02:18:46	93	02:40:30	90	01:01:16	59		9	女子40-49歳	4
82	97	沼田 豊治	男	愛知県	03:42:27	00:13:12	81	00:11:47	01:57:12	68	02:22:11	72	01:20:16	92	73		男子50-59歳	19
83	74	宇佐美 寛貴	男	山形県	03:42:31	00:15:08	93	00:09:00	02:14:21	85	02:38:29	88	01:04:02	64	74		男子40-49歳	15
84	127	田村 淳	男	福島県	03:45:26	00:11:34	62	00:07:56	02:14:57	87	02:34:27	84	01:10:59	81	75		男子60-69歳	8
85	4	谷口 昂星	男	神奈川県	03:46:50	00:12:42	73	00:09:50	02:15:11	88	02:37:43	87	01:09:07	76	76		男子18-19歳	7
86	107	柴原 誠治	男	青森県	03:47:05	00:12:50	74	00:09:04	02:05:33	79	02:27:27	78	01:19:38	90	77		男子50-59歳	20
87	124	中澤 達也	男	埼玉県	03:52:05	00:13:36	85	00:08:23	02:17:10	91	02:39:09	89	01:12:56	84	78		男子60-69歳	9
88	119	井川 立	男	愛媛県	03:53:48	00:17:58	99	00:07:26	02:11:22	84	02:36:46	85	01:17:02	89	79		男子60-69歳	10
89	92	レイサム ダリルランス	男	新潟県	03:55:41	00:16:42	97	00:22:23	02:18:23	92	02:57:28	94	00:58:13	50	80		男子40-49歳	16
