Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Rasmus Svenningsson	M	MPRO	1	7:34:27	0:40:04	3:59:39	2:49:57
2	Cameron Wurf	M	MPRO	2	7:35:49	0:40:31	3:59:05	2:51:40
3	Trevor Foley	M	MPRO	3	7:36:32	0:41:57	4:00:12	2:49:27
4	Jesper Svensson	M	MPRO	4	7:37:56	0:37:52	4:02:59	2:52:30
5	Arnaud Guilloux	M	MPRO	5	7:38:52	0:38:48	4:12:06	2:43:16
6	Florian Angert	M	MPRO	6	7:49:57	0:37:42	4:13:25	2:54:08
7	Lars Lomholt	M	MPRO	7	7:55:58	0:44:28	4:13:39	2:52:11
8	Quentin Barreau	M	MPRO	8	7:57:34	0:37:50	4:17:04	2:56:31
9	Vincent Größer	M	MPRO	9	7:58:00	0:42:01	4:09:09	3:02:39
10	Victor Arroyo Bugallo	M	MPRO	10	8:00:58	0:44:06	4:15:02	2:56:04
11	Connor Ford	M	MPRO	11	8:02:40	0:41:55	4:14:19	3:01:39
12	Matthew Collins	M	MPRO	12	8:06:52	0:38:47	4:13:08	3:09:27
13	Connor Weaver	M	MPRO	13	8:13:11	0:42:29	4:32:08	2:54:13
14	Geoffroy Bagnoud	M	M30-34	1	8:15:23	0:45:24	4:26:52	2:56:45
15	Drew Jordan	M	MPRO	14	8:16:42	0:44:37	4:25:18	3:01:14
16	Mitchell Ott	M	MPRO	15	8:16:53	0:41:55	4:25:50	3:03:28
17	Andy Krueger	M	MPRO	16	8:21:34	0:39:37	4:27:51	3:07:32
18	Alexander Frank	M	MPRO	17	8:22:20	0:44:45	4:29:48	3:01:05
19	Matthew Richard	M	MPRO	18	8:25:16	0:44:33	4:27:03	3:08:24
20	Quentin De Vos	M	MPRO	19	8:26:07	0:45:05	4:27:20	3:08:22
21	Christophe De Keyser	M	MPRO	20	8:31:02	0:38:43	4:14:43	3:33:05
22	Parker Kerth	M	M25-29	1	8:36:30	0:47:04	4:23:48	3:16:19
23	Anna Pabinger	F	FPRO	1	8:38:55	0:49:19	4:44:33	2:59:18
24	Yang Pan	M	MPRO	21	8:40:43	0:47:32	4:33:17	3:13:42
25	Matthew Qiao	M	M35-39	1	8:46:09	0:47:40	4:45:55	3:03:26
26	Andy Grant	M	M35-39	2	8:49:22	0:45:51	4:45:12	3:11:43
27	Mike Consolini	M	M35-39	3	8:49:50	0:51:20	4:34:15	3:16:53
28	Robby Webster	M	MPRO	22	8:53:31	0:44:44	4:37:35	3:23:32
29	Tom Pignatello	M	M30-34	2	8:54:37	0:49:09	4:43:12	3:11:42
30	Jodie Robertson	F	FPRO	2	8:54:39	0:44:29	4:42:46	3:20:45
31	Jules Bouvet	M	M30-34	3	8:54:43	0:49:43	4:46:26	3:11:39
32	Kevin Stumpf	M	M35-39	4	8:56:05	0:48:57	4:39:20	3:20:41
33	Vincent Felix Bartscher	M	M30-34	4	8:59:21	0:45:40	4:40:54	3:25:29
34	Corentin Provost	M	M30-34	5	8:59:53	0:49:06	4:54:59	3:09:30
35	Stephan Schwarz	M	M40-44	1	9:00:05	0:50:34	4:38:48	3:25:00
36	Danielle Fauteux	F	FPRO	3	9:01:56	0:48:31	4:39:42	3:28:12
37	Richie Szeliga	M	M30-34	6	9:02:07	0:53:31	4:58:22	3:03:47
38	Juan Rocha	M	M40-44	2	9:03:19	0:55:17	4:50:16	3:11:38
39	Robert Ordish	M	M40-44	3	9:03:50	0:51:12	4:57:20	3:06:24
40	Kiyan Sunderji	M	M18-24	1	9:04:10	0:43:18	5:00:40	3:13:24
41	Pieter Heemeryck	M	MPRO	23	9:09:44	0:37:50	4:09:31	4:16:25
42	Philip Billikopf	M	M35-39	5	9:09:48	0:50:13	4:49:16	3:22:40
43	Kyra Meulenberg	F	FPRO	4	9:10:24	0:52:52	4:51:59	3:18:48
44	William Martin	M	M40-44	4	9:10:51	0:55:06	4:49:41	3:19:35
45	Cristian Eggers	M	M35-39	6	9:10:55	0:53:53	4:46:08	3:24:58
46	Cheyenne Barraez Gil	M	M45-49	1	9:11:02	0:49:55	4:50:31	3:23:50
47	Andy Kruth	M	M35-39	7	9:11:05	0:45:38	4:54:55	3:24:26
48	Alexander Kunze	M	M50-54	1	9:14:09	0:54:11	4:52:50	3:19:47
49	shane lynch	M	M35-39	8	9:14:26	0:48:54	4:49:56	3:29:34
50	Matt Triick	M	M40-44	5	9:17:21	0:51:59	4:47:39	3:28:48
51	Jimmy Sosinski	M	M40-44	6	9:18:13	0:51:26	4:50:12	3:24:09
52	Gabrielle Suver	F	FPRO	5	9:18:20	0:47:37	5:17:33	3:05:40
53	Tyler Haar	M	M30-34	7	9:18:57	0:50:59	5:03:27	3:15:55
54	Mathew Engle	M	M35-39	9	9:20:47	0:52:02	4:52:56	3:28:41
55	Matthew Cook	M	M30-34	8	9:21:15	0:50:43	5:07:52	3:16:22
56	Jamie Hayes	M	MPRO	24	9:21:34	0:40:01	4:26:22	4:08:44
