ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
13af07d8-e359-43cb-baa2-f18271176b12	1	Sam Long	M	MPRO	1	3:42:44	0:23:57	0:01:22	1:58:25	0:01:13	1:17:47	US	
a4ca2f4e-e1c1-4535-8e7f-eb39ec4d6841	2	Tyler Butterfield	M	MPRO	2	3:43:45	0:22:05	0:01:34	2:04:18	0:01:16	1:14:32	US	
0dbb6f40-b4d4-4df1-8b17-c39e94aedadb	3	Mauricio Mendez	M	MPRO	3	3:46:57	0:21:10	0:01:16	2:06:10	0:01:15	1:17:06	mex	
c6437e93-a193-4bd8-97b5-66087b8e0331	4	Luciano Taccone	M	MPRO	4	3:48:42	0:21:08	0:01:13	2:06:18	0:01:39	1:18:25	AR	
f0aceb2e-38e0-4710-a642-96ffac884501	5	Matt Hanson	M	MPRO	5	3:49:49	0:23:10	0:01:31	2:03:27	0:01:11	1:20:30	US	
f0eab8f9-8c00-49e8-a3b1-6e3008ecd5c2	6	Jackson Laundry	M	MPRO	6	3:52:31	0:23:21	0:01:28	2:03:18	0:01:10	1:23:13	CA	
4dc37a2d-4c96-43f8-a45d-3cf12a8ba1fc	7	Rodrigo Gonzalez	M	MPRO	7	3:52:50	0:21:12	0:01:15	2:10:52	0:01:40	1:17:52	MX	
23892b53-b521-47d6-99b6-898897bef0a4	8	Flavio Morandini	M	MPRO	8	3:54:07	0:21:06	0:01:24	2:06:10	0:01:17	1:24:11	AR	
727e2945-52ba-4d1e-9d53-b057260e1364	9	Irving Perez Pineda	M	MPRO	9	3:56:21	0:20:35	0:01:31	2:08:46	0:02:03	1:23:27	MX	
f2d3670f-38f0-41d8-9e73-71b1ad67c051	10	Taylor Reid	M	MPRO	10	3:57:39	0:23:58	0:01:38	2:07:40	0:01:21	1:23:02	CAN	
fe84bc35-fbcc-41a3-b8f8-9987208a22a5	11	Jorge Alarcon	M	MPRO	11	4:03:51	0:23:35	0:01:53	2:15:03	0:01:58	1:21:23	MX	
686efa05-c84e-4da8-94d9-469ae8443573	12	Benjamin Deal	M	MPRO	12	4:04:49	0:23:12	0:01:59	2:08:01	0:03:58	1:27:39	US	
017ffc86-afe0-4908-b88f-600e4056b4fa	13	Raul Tejada	M	MPRO	13	4:05:27	0:23:52	0:01:44	2:07:35	0:04:02	1:28:14	GT	
0e58e7da-9094-49b2-8bd1-abc4666dceb0	14	Holly Lawrence	F	FPRO	1	4:07:17	0:21:39	0:01:22	2:15:29	0:01:37	1:27:11	US	
731c8d05-dc0c-434e-800f-8a087d37d425	15	Nicholas Chase	M	MPRO	14	4:07:47	0:22:13	0:01:30	2:03:57	0:01:38	1:38:29	US	
89773bcf-c64a-47d5-afa9-b5aedd6e275b	16	Martin Ulloa	M	MPRO	15	4:14:34	0:21:06	0:01:34	2:05:25	0:01:26	1:45:04		
6c71c08a-c165-4850-8c72-3bce53bc1104	17	Eduardo Perez Sandi	M	M18-24	1	4:14:38	0:26:40	0:02:17	2:17:00	0:01:17	1:27:25	MX	
baf58c98-4471-4368-93cf-63600e041db4	18	Ricardo Antonio Guzman Mejia	M	M30-34	1	4:16:20	0:24:39	0:01:54	2:17:29	0:01:28	1:30:51	MX	
fe423a99-44be-4fd8-b495-c2ca8862ba50	19	Romina Biagioli	F	FPRO	2	4:17:14	0:22:44	0:01:26	2:27:11	0:02:02	1:23:51	AR	
746beeb4-0981-4742-ab52-b2848aa947d1	20	Joaquin Pereda	M	MPRO	16	4:17:34	0:20:38	0:01:31	2:06:55	0:01:23	1:47:08	MEX	
51010d18-9de5-4a36-8762-127143979118	21	Cecilia Perez	F	FPRO	3	4:18:50	0:24:53	0:01:32	2:24:48	0:01:59	1:25:38	MX	
