Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Lionel Sanders	M	MPRO	1	3:37:54	0:25:00	1:58:13	1:11:49
2	Sam Long	M	MPRO	2	3:40:08	0:26:00	1:59:53	1:11:30
3	Colin Szuch	M	MPRO	3	3:44:04	0:25:37	2:01:13	1:14:00
4	Kevin McDowell	M	MPRO	4	3:44:24	0:23:39	2:03:31	1:14:17
5	Jake Birtwhistle	M	MPRO	5	3:45:20	0:23:43	2:05:22	1:13:14
6	Ben Hamilton	M	MPRO	6	3:46:37	0:24:14	2:03:11	1:16:03
7	Jackson Laundry	M	MPRO	7	3:48:38	0:24:48	2:02:45	1:18:07
8	Seth Rider	M	MPRO	8	3:49:23	0:22:15	2:04:55	1:18:58
9	Matt Hanson	M	MPRO	9	3:49:55	0:24:44	2:08:57	1:13:10
10	Marc Dubrick	M	MPRO	10	3:50:12	0:22:52	2:08:08	1:16:17
11	Max Neumann	M	MPRO	11	3:51:27	0:23:43	2:05:24	1:19:12
12	Magnus Ditlev	M	MPRO	12	3:52:29	0:23:48	2:10:05	1:14:53
13	Cameron Wurf	M	MPRO	13	3:53:49	0:25:03	2:03:42	1:21:51
14	Trevor Foley	M	MPRO	14	3:54:00	0:24:58	2:04:08	1:21:51
15	Matthew Marquardt	M	MPRO	15	3:54:28	0:24:15	2:05:37	1:20:50
16	Connor Ford	M	MPRO	16	3:55:14	0:26:10	2:06:58	1:18:22
17	Andre Lopes	M	MPRO	17	3:55:47	0:24:15	2:13:22	1:15:15
18	Adam Feigh	M	MPRO	18	3:56:10	0:26:08	2:08:45	1:17:28
19	Matt McElroy	M	MPRO	19	3:56:44	0:23:46	2:18:31	1:09:44
20	Robert Wilkowiecki	M	MPRO	20	3:57:14	0:23:44	2:13:52	1:16:26
21	Dylan Gillespie	M	MPRO	21	3:57:31	0:23:50	2:10:49	1:19:55
22	Nicholas Chase	M	MPRO	22	3:59:07	0:25:01	2:11:27	1:19:27
23	Mark Romano	M	MPRO	23	4:00:19	0:24:27	2:16:12	1:16:40
24	Devin Volk	M	MPRO	24	4:01:07	0:25:06	2:12:21	1:20:38
25	Matthew Ralphs	M	MPRO	25	4:02:10	0:26:18	2:08:29	1:23:44
26	Ben Randall	M	MPRO	26	4:03:24	0:31:21	2:13:09	1:13:13
27	Danilo Pimentel	M	MPRO	27	4:04:02	0:24:07	2:13:14	1:23:28
28	Matthew Sharpe	M	MPRO	28	4:04:08	0:23:44	2:16:52	1:20:19
29	James Bilbrey	M	MPRO	29	4:04:59	0:24:10	2:10:25	1:26:41
30	Justin Riele	M	MPRO	30	4:06:10	0:23:41	2:11:10	1:27:49
31	John Killeen	M	MPRO	31	4:07:32	0:29:42	2:12:38	1:21:13
32	Scott Ludford	M	MPRO	32	4:08:02	0:24:50	2:16:48	1:22:39
33	Drew Jordan	M	MPRO	33	4:08:32	0:28:45	2:15:12	1:20:36
34	Kyle Warrick	M	MPRO	34	4:09:12	0:26:14	2:16:29	1:22:55
35	Gabriel Chalut	M	M18-24	1	4:09:28	0:29:02	2:17:12	1:19:22
36	Paula Findlay	F	FPRO	1	4:11:06	0:25:57	2:17:47	1:24:08
37	Matthew Guenter	M	MPRO	35	4:11:14	0:23:45	2:21:00	1:22:43
38	Arthur Benson	M	M25-29	1	4:11:42	0:28:57	2:16:46	1:21:30
39	Jayden Kuijpers	M	MPRO	36	4:11:51	0:27:51	2:18:19	1:22:18
40	Gavin Ketola	M	M25-29	2	4:12:25	0:28:54	2:13:35	1:25:11
41	Brad Bischoff	M	MPRO	37	4:12:44	0:26:10	2:15:50	1:26:53
42	Albert Askengren	M	MPRO	38	4:13:02	0:27:49	2:17:59	1:23:35
