ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
0ca8888e-ef4b-ef11-a317-6045bd010fe7	1	Fabian Kraft	M	MPRO	1	3:35:37	0:22:47	0:03:01	2:00:31	0:00:51	1:08:27		
535fda53-51ef-4f70-9acf-4d86f94fbfff	2	Sam Dickinson	M	MPRO	2	3:37:06	0:22:47	0:02:50	2:00:38	0:00:40	1:10:11		
65ab6c8d-1caa-4c45-99f5-7b6c736eb2e1	3	Gabriel Sandör	M	MPRO	3	3:37:23	0:22:52	0:02:50	2:00:42	0:00:54	1:10:05	SWE	
1e3b8903-7aa9-46cc-bd98-ed85786bf115	4	Harry Palmer	M	MPRO	4	3:37:58	0:23:26	0:03:04	1:59:45	0:00:52	1:10:50	GB	
4c5dbc59-53d6-4363-81e3-04c95d7a85af	5	Jannik Schaufler	M	MPRO	5	3:38:57	0:22:44	0:02:54	2:00:44	0:00:44	1:11:52	DE	
fe4774a6-6d2e-4912-a997-d834306fbd07	6	Michele Bortolamedi	M	MPRO	6	3:39:24	0:22:50	0:02:50	2:00:41	0:00:52	1:12:11	Italy	
c5294115-ffa9-412c-9fd5-542cbd291dfb	7	Brock Hoel	M	MPRO	7	3:40:58	0:22:51	0:02:51	2:00:37	0:00:48	1:13:49	CA	
79fcb9a7-9217-4a1b-bc5d-122d2c8ba6ba	8	Robert Kallin	M	MPRO	8	3:41:13	0:23:28	0:03:31	1:57:34	0:01:01	1:15:40	SE	
181bfc44-7b01-f011-bae2-6045bd05fcc1	9	Cedric Osterholt	M	MPRO	9	3:41:37	0:22:45	0:03:03	2:00:28	0:00:40	1:14:40	DE	
525db268-8e73-4de0-9e6f-df908b1261a8	10	Thor Bendix Madsen	M	MPRO	10	3:41:51	0:24:33	0:03:25	1:59:37	0:00:59	1:13:16	Denmark	
068c54ba-a32b-4d24-bd5b-bd157bb33a9f	11	Marius Bjerkeset	M	MPRO	11	3:43:15	0:26:55	0:03:18	1:57:17	0:00:59	1:14:46	NO	
afc3abc4-ebf3-47d9-b748-246fcef0a2f0	12	Fabian Meeusen	M	MPRO	12	3:43:40	0:22:49	0:02:57	2:06:25	0:00:51	1:10:37	CH	
ac8e28d2-bc7e-4ef0-a700-28baa2aae187	13	Hannes Butters	M	MPRO	13	3:45:00	0:22:55	0:03:27	2:00:01	0:00:53	1:17:44	DE	
245b6099-6773-46ff-b132-fc3fcab2d45e	14	Jens Emil Sloth Nielsen	M	MPRO	14	3:45:17	0:26:50	0:03:16	2:03:50	0:00:46	1:10:35	DK	
936a08ae-87f6-41b2-91d6-bb686f29b7cb	15	Bastian Peitersen	M	MPRO	15	3:48:00	0:26:45	0:03:18	2:03:56	0:01:00	1:13:01	Denmark	
e8c74975-7790-4f88-a39f-254c4371540a	16	Jack Hutchens	M	MPRO	16	3:49:49	0:23:29	0:03:02	2:05:40	0:00:51	1:16:48	PT	
ab606771-fb22-4312-b9e4-052bdc78ec8c	17	Jonathan Homberg	M	MPRO	17	3:50:58	0:27:00	0:03:29	2:03:34	0:01:11	1:15:44	DEU	
298a2610-f22b-4dfa-9187-13296893b76e	18	Philip Refslund	M	MPRO	18	3:52:07	0:26:02	0:03:24	2:01:14	0:00:55	1:20:33	Denmark	
