ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
463274	DNS	Slobodan Laskovic	M	M45-49	0							Serbia	DNS
30136	DNS	Evgeny Abramov	M	M30-34	0							Russia	DNS
389815	DNS	Alexander Maak	M	M45-49	0							Germany	DNS
549574	DNS	Rene Berger	M	M30-34	0							Austria	DNS
675265	DNS	Kieran Maher	M	M45-49	0							Austria	DNS
219749	DNS	Daniel Bild	M	M30-34	0							Germany	DNS
193024	DNS	Christoph Mayrl	M	M45-49	0							Austria	DNS
401355	DNS	Alexander Brodin	M	M30-34	0							Sweden	DNS
675377	DNS	Udo Meissner	M	M45-49	0							Germany	DNS
270074	DNS	Thomas Canori	M	M30-34	0							Austria	DNS
649975	DNS	Luca Millevoi	M	M45-49	0							Italy	DNS
469058	DNF	Simon De schutter	M	M30-34	0		0:34:52	0:05:24	2:27:19	0:03:01		Belgium	DNF
675263	DNS	Sascha Moehrs	M	M45-49	0							Germany	DNS
272651	DNS	Claudio Di pietro	M	M30-34	0							Spain	DNS
675311	DNS	Lewis Murray	M	M45-49	0							United Kingdom	DNS
139750	DNF	Benjamin Dietmann	M	M30-34	0		0:36:56	0:06:15				Austria	DNF
140423	DNS	Wilfried Nebenführ	M	M45-49	0							Austria	DNS
675366	DNS	Markus Eberhardt	M	M30-34	0							Germany	DNS
65373	DNS	Mark Nielsen	M	M45-49	0							United Kingdom	DNS
660740	DNF	Sadie Barron	F	F45-49	0							United Kingdom	DNF
675262	DNS	Matthias Forster	M	M30-34	0							Austria	DNS
140263	DNS	Sebastian Nitsch	M	M45-49	0							Austria	DNS
585926	DNS	Renate Benkö	F	F45-49	0							Austria	DNS
563299	DNS	Tim Geraedts	M	M30-34	0							Netherlands	DNS
675148	DNF	Per-Fredrik Norlund	M	M45-49	0		0:54:47	0:08:02				Sweden	DNF
300172	DNS	Katia Ceccarelli	F	F45-49	0							Italy	DNS
389165	DNF	Johannes Göllner	M	M30-34	0		0:41:04	0:06:33	2:50:08	0:05:50		Germany	DNF
554029	DNS	Erlend Norviken	M	M45-49	0							Norway	DNS
675226	DNS	Eva Dax	F	F45-49	0							Austria	DNS
675203	DNS	Josef Hinterberger	M	M30-34	0							Austria	DNS
30517	DNF	Dietmund Peters	M	M45-49	0							Germany	DNF
675318	DNS	Katja Drobez energe team	F	F45-49	0							Slovenia	DNS
675160	DNS	Thomas Höfer	M	M30-34	0							Austria	DNS
140197	DNF	Alex Reisner	M	M45-49	0		0:48:44	0:09:04				Austria	DNF
522876	DNF	Sylvia Figueiredo	F	F45-49	0		0:58:48					United Kingdom	DNF
675224	DSQ	Stephan Hohmann	M	M30-34	0							Germany	DQ
314844	DNS	Mark Richardson	M	M45-49	0							United Kingdom	DNS
675331	DNF	Inga Fridriksdottir	F	F45-49	0							Iceland	DNF
403027	DNS	Aleksi Huusela	M	M30-34	0							Finland	DNS
192200	DNS	Charly Richter	M	M45-49	0							Austria	DNS
675283	DNS	Nataliya Geppert	F	F45-49	0							Germany	DNS
675145	DNS	Alex Keeble	M	M30-34	0							United Kingdom	DNS
554100	DNS	Michael Rombouts	M	M45-49	0							Netherlands	DNS
675283	DNS	Nataliya Geppert	F	F45-49	0							Germany	DNS
675259	DNS	Martin Kliemt	M	M30-34	0							Germany	DNS
654758	DNF	Wilfried Schubert	M	M45-49	0		0:38:02	0:10:09				Germany	DNF
