ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
121276	DNS	Andrew CHEONG	M	M45-49	0							Singapore	DNS
569478	DNF	Koichi KANOMATA	M	M45-49	0		1:29:22	0:07:27	6:47:24	0:04:29		Japan	DNF
111511	DNF	Masayuki ONISHI	M	M45-49	0		1:06:17	0:06:18				Japan	DNF
603693	DNF	Su Aik CHUAH	M	M45-49	0		1:52:11	0:10:07	8:34:00	0:03:33		Malaysia	DNF
63803	DNF	Norman PASCUAL	M	M35-39	0		1:42:48	0:13:38	8:30:30	0:19:39		Philippines	DNF
120469	DNF	Steve RINGEL	M	M35-39	0		1:17:21	0:08:15				Germany	DNF
89091	DNF	Geoff MEYER	M	M45-49	0		1:01:58	0:06:00				Australia	DNF
120893	DNF	Hsien Ming SWEE	M	M35-39	0		1:34:58	0:22:03	9:33:37			Singapore	DNF
603689	DNF	Edwin NG	M	M35-39	0		1:55:18	0:15:40				Malaysia	DNF
370508	DNF	Ratanawut NALUMPOON	M	M25-29	0		1:48:26	0:11:43	6:14:14			Thailand	DNF
293528	DNF	Rizal BIN ISA	M	M35-39	0		1:39:47	0:11:00	7:04:45	0:16:42		Malaysia	DNF
370563	DNS	Rozinah AHMAD	F	F45-49	0					10:33:22		Malaysia	DNS
294112	DNF	Pochara THIMASAN	M	M25-29	0		1:14:06	0:10:43	6:42:10	0:11:25		Thailand	DNF
449793	DNF	Timothy VOHMANN	M	M25-29	0		1:01:20	0:03:55	5:14:27	0:02:07		Australia	DNF
294052	DNF	Kobkiat SANGWANICH	M	M40-44	0		0:59:19	0:06:49				Thailand	DNF
181718	DNF	Shiyi SUN	F	F25-29	0		1:36:37					China	DNF
603687	DNF	Eiko ISHIKAWA	M	M50-54	0		1:45:01	0:13:58	9:03:49			Japan	DNF
90311	DNF	Elinor MALICDEM	F	F25-29	0		1:56:37	0:16:55	8:32:53			Philippines	DNF
164034	DNF	Andrea MEMMINGER	F	F35-39	0		1:12:25	0:04:21	6:20:26	0:04:26		Germany	DNF
603686	DNF	Yuichi HASEGAWA	M	M30-34	0		1:01:17	0:05:09				Japan	DNF
162866	DNF	Magdalena CVETKOVIC	F	F30-34	0		0:56:57	1:19:59	8:06:05	0:07:19		Switzerland	DNF
253639	DNF	Yasuhiro KIKUCHI	M	M30-34	0		1:21:05	0:06:16				Japan	DNF
569656	DNF	Yew Cheong Eamonn CHAN	M	M40-44	0		1:44:26	0:06:42	8:41:08	0:14:22		Malaysia	DNF
99558	DNF	Ignace DECKMYN	M	M50-54	0		1:19:56	0:05:42	5:42:54	0:03:16		Belgium	DNF
60970	DNF	Kyle SOLE	M	M30-34	0		1:04:11	0:06:22				South Africa	DNF
603696	DNS	Weicheng ZHANG	M	M50-54	0							China	DNS
63996	DNF	Peter CAMPBELL	M	M30-34	0		0:54:35	0:03:55	5:36:00	0:03:22		United Kingdom	DNF
603680	DNF	Kamis CHE MANSOR	M	M50-54	0		1:40:34	0:10:40	7:51:02	0:06:26		Malaysia	DNF
514558	DNF	Hercio TAKASHIMA	M	M40-44	0		1:57:35	0:11:39	6:11:12			Brazil	DNF
269729	DNF	Koichi SHIMIZU	M	M50-54	0		1:13:30	0:05:47	7:14:47	0:14:51		Japan	DNF
603702	DNF	Danny LEONG	M	M50-54	0		1:54:36	0:20:09	8:22:48			Malaysia	DNF
201463	DNF	Lawrence MILLS	M	M50-54	0		1:44:55	0:10:53				Canada	DNF
370519	DNF	Affendy NANYAN	M	M40-44	0		2:18:01	0:13:00	7:57:56	0:06:50		Malaysia	DNF
203918	DNF	Michael OLEDAN	M	M40-44	0		1:52:01	0:09:09	6:13:45			Philippines	DNF
370292	DNS	Roy TAY	M	M40-44	0							Singapore	DNS
121271	DNF	Kevin SIAH	M	M30-34	0		1:08:01	0:03:47				Malaysia	DNF
294869	DNF	Thana SNGUANNAPAPORN	M	M30-34	0		1:48:26	0:15:50	8:43:14			Thailand	DNF
236922	DNF	Jee WONG	M	M30-34	0		1:45:27	0:12:17	6:20:36			Malaysia	DNF
94737	DNF	Yi CAO	M	M30-34	0		1:23:28	0:09:45	7:36:08	0:12:47		China	DNF
121314	DNF	Samsul Bahari ADNAN	M	M40-44	0		1:55:54	0:20:23				Malaysia	DNF
95951	DNF	Dehui TAN	F	F50-54	0		1:36:59	0:14:28	8:39:32	0:28:19		China	DNF
370560	DNF	Christopher ROWE	M	M55-59	0		1:29:15	0:13:22				New Zealand	DNF
370459	DNS	Yeonggil KIM	M	M40-44	0							Korea	DNS
159724	DNF	David BENWELL	M	M55-59	0		1:31:32	0:08:08	7:05:28	0:10:33		Canada	DNF
72414	DNF	Kaustubh RADKAR	M	M30-34	0		0:53:47	0:05:37				India	DNF
89986	DNF	Fernando MUNOZ BERNAL	M	M40-44	0		1:21:02	0:09:58	6:51:26			Colombia	DNF
121159	DNS	Steven ONG	M	M40-44	0							Malaysia	DNS
502718	DNF	Roberto CORUJO ACEBEDO	M	M30-34	0		0:57:50	0:03:23				Spain	DNF
121114	DNF	Faizol RAMLI	M	M40-44	0		1:56:10	0:10:20				Malaysia	DNF
603690	DNF	Sham Suddin KHALID	M	M55-59	0		2:28:26					Malaysia	DNF
603697	DNF	Christophe SANNIER	M	M40-44	0		0:51:23	0:04:32	5:33:37	0:05:18		France	DNF
148084	DNF	Boon Hin ONG	M	M55-59	0		1:35:06	0:08:00	7:05:41	0:08:30		Malaysia	DNF
603700	DNF	Xuetao LIANG	M	M30-34	0		1:33:28	0:08:44	9:28:30			China	DNF
429803	DNS	Hui Koon TEO	M	M40-44	0							Singapore	DNS
107727	DNS	Soren MELLERUP	M	M30-34	0							Denmark	DNS
131355	DNF	Alexandre REINERT	M	M30-34	0		1:00:12	0:04:00				Hong Kong	DNF
125649	DNF	Cecilia DATTOLI	F	F55-59	0		1:42:29	0:11:47				Argentinia	DNF
124556	DNF	Takako MORINAGA	F	F55-59	0		1:22:22	0:10:54	7:00:03			Japan	DNF
603694	DNF	Chewee Hoe LEE	M	M60-64	0		2:03:01	0:09:17				Malaysia	DNF
121157	DNF	Kazuo SHIBA	M	M60-64	0		1:26:53	0:10:29				Japan	DNF
603685	DNF	Virgil HODGES	M	M30-34	0		1:21:27	0:06:31				United States	DNF
110632	DNF	Tahming TAN	M	M60-64	0		1:41:43	0:12:25	7:35:34	0:06:23		Malaysia	DNF
148100	DNF	Toshiharu FUKUDA	M	M60-64	0		1:21:55	0:08:51	7:04:35	0:06:26		Japan	DNF
120739	DNF	Pan Seng KHA KHRANG	F	F30-34	0		1:20:22	0:05:53				Myanmar	DNF
124961	DNF	Laura WHENMOUTH	F	F30-34	0		1:09:25	0:04:59	6:24:38	0:03:07		Australia	DNF
370422	DNF	Edwin TIONG	M	M40-44	0		1:52:29	0:14:41	7:33:43	0:08:15		Malaysia	DNF
120887	DNF	Masanori MORI	M	M60-64	0		1:22:36	0:10:55	7:47:45			Japan	DNF
603684	DNF	Thian Aun GOH	M	M40-44	0		1:24:49	0:16:13	8:32:56	0:13:47		Malaysia	DNF
120807	DNF	Harum Delima BINTI MOHD NOOR	F	F30-34	0		1:40:01	0:08:43	8:14:28	0:09:02		Malaysia	DNF
33119	DNF	Pamela WILLIAMS	F	F60-64	0		1:29:09	0:12:55	7:50:47	0:09:33		Australia	DNF
46644	DNS	Kurt LICHTKOPPLER	M	M40-44	0							Austria	DNS
115485	DNF	Ayumi URATA	F	F30-34	0		1:33:45	0:06:33				Japan	DNF
95722	DNF	Hock Yim WONG	M	M65-69	0		1:54:43	0:06:21	8:22:57	0:02:51		Malaysia	DNF
32473	DNF	Yoshihito MUNEMASA	M	M65-69	0		1:37:00	0:08:48	7:10:48	0:04:04		Japan	DNF
569700	DNF	Joemel ASACTA	M	M35-39	0		1:36:32	0:09:59	7:51:47	0:10:59		Philippines	DNF
191095	DNF	Toshio SHIOMOTO	M	M70-74	0		1:55:13	0:16:22	6:04:14			Japan	DNF
411681	DNF	Yoshitaka Kamei	M	M75-79	0		2:09:08	0:15:18	7:17:43			Japan	DNF
269978	DNF	Sze Mun YEE	M	M75-79	0		2:01:01	0:08:42	9:16:04			Malaysia	DNF
603695	DNF	David LEE	M	M50-54	0		2:20:57					Malaysia	DNF
166655	DNF	Olivier CORNELIS	M	M35-39	0		1:11:51	0:05:35	5:23:40	0:03:39		Belgium	DNF
337158	DNF	Akira Iokibe	M	M40-44	0		1:20:20	0:04:09	5:41:40	0:03:18		Japan	DNF
72233	DNF	Ben GRIFFIN	M	M35-39	0		1:07:21	0:04:25	5:46:38	0:02:53		Australia	DNF
425263	DNF	Ian GRAHAM	M	M40-44	0		1:06:20	0:04:43	6:14:47			New Zealand	DNF
