ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
961ed6f4-bb86-4e7a-a542-a2dcb29a88fe	1	Marcel Zamora Perez	M	MPRO	1	8:25:28	0:52:12	0:02:17	4:46:39	0:02:12	2:42:08	ES	
ae6223f2-f51a-40aa-90bc-4f1b0aa15b40	2	Frederik Van Lierde	M	MPRO	2	8:30:39	0:49:56	0:02:45		5:43:25	2:47:14	BE	
569ba5fd-f8b5-42f6-8087-eef16fb18727	3	Olivier Marceau	M	MPRO	3	8:52:25	0:52:17	0:02:43	4:55:01	0:02:44	2:59:40	FRA	
10430a05-7be6-482f-837c-dd92116de20f	4	Bruno Clerbout	M	MPRO	4	8:53:15	0:52:18	0:02:43	5:01:10	0:02:36	2:54:28	BEL	
973a4fd1-375c-42f0-979c-d52b9134d221	5	Romain Guillaume	M	MPRO	5	8:58:56	0:52:15	0:02:43	4:49:32	0:02:48	3:11:38	FR	
16459c8b-3b86-430e-9395-1d2f7b88179b	6	Jose Jeuland	M	MPRO	6	9:05:46	0:54:47	0:02:38	5:04:43	0:02:56	3:00:42	FR	
a4662200-15b4-465b-b5e5-b96f4830c969	7	Xavier Diepart	M	MPRO	7	9:06:54	1:00:39	0:02:59	5:02:00	0:02:36	2:58:40	BEL	
4fc30f7e-6b70-438f-824f-5d2bd592a8a7	8	Michael Wetzel	M	M25-29	8	9:12:28	0:55:36	0:03:16	5:06:53	0:02:38	3:04:05	DE	
9103ecf4-6333-4401-bb1a-b9a2de10adee	9	Damien Landon	M	MPRO	9	9:13:56	0:52:26	0:02:40	5:05:04	0:02:23	3:11:23	FR	
be88a926-1bd3-4cce-8d97-6c4eab01d5ee	10	Cedric Jacquot	M	M30-34	10	9:14:21	1:06:37	0:05:00	4:57:40	0:02:40	3:02:24	FR	
