ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
33b9e215-43bb-48ec-beaf-6a9dc21d60fb	1	Morgan Pearson	M	MPRO	1	3:42:26	0:23:04	0:02:00	2:05:38	0:01:37	1:10:08	US	
25268d11-7de0-4142-b833-b241a40c2985	2	Matt McElroy	M	MPRO	2	3:44:13	0:23:17	0:01:57	2:04:44	0:01:34	1:12:40	US	
d34e3aef-bd9a-4dec-a2af-6c2090b7d470	3	Louis Woodgate	M	MPRO	3	3:45:41	0:23:17	0:02:07	2:02:06	0:01:30	1:16:42	GR	
de7c4f88-8220-4242-9354-6492806c7778	4	Bart Aernouts	M	MPRO	4	3:45:58	0:27:11	0:02:14	2:01:36	0:01:40	1:13:18	BE	
9aa1aa34-0af5-44a2-9fd4-01dacb14c8ce	5	Colin Szuch	M	MPRO	5	3:47:24	0:27:20	0:02:15	2:03:45	0:01:43	1:12:21	United States of America	
13922a81-5279-4adf-ad18-93a277144ec4	6	Sebastian Wernersen	M	MPRO	6	3:48:03	0:23:12	0:02:15	2:04:33	0:01:28	1:16:35	NO	
04eb7215-57f7-44dd-973c-12ed1b154036	7	John Reed	M	MPRO	7	3:48:55	0:23:07	0:02:14	2:08:24	0:01:46	1:13:24	USA	
6139232e-d4c3-4aea-b0cd-11c5aaaec039	8	David Reynolds	M	MPRO	8	3:49:40	0:25:58	0:02:17	2:05:40	0:02:04	1:13:40	US	
c5fa6157-1c4f-4fdf-9774-f6e7957a7471	9	Christophe De Keyser	M	MPRO	9	3:50:13	0:23:32	0:02:04	2:08:07	0:01:47	1:14:43	Belgium	
3d1da898-376b-4278-a37b-cd6332230878	10	Miguel Mattox	M	MPRO	10	3:50:23	0:24:40	0:02:23	2:05:59	0:02:12	1:15:10	US	
a50121c5-f304-4f45-a1b9-c140bfa1b680	11	Connor Weaver	M	MPRO	11	3:50:36	0:25:54	0:02:53	2:12:12	0:01:28	1:08:08	US	
f055c28f-2625-4a6b-bdc6-97e8859cacb2	12	Vetle Bergsvik Thorn	M	MPRO	12	3:50:58	0:23:02	0:02:14	2:04:41	0:01:39	1:19:21	NO	
0f3bc680-1c06-4640-a987-3209493eab64	13	Dylan Gillespie	M	MPRO	13	3:51:22	0:24:49	0:02:00	2:00:40	0:01:38	1:22:16	US	
30e43239-143a-418a-972a-604504699494	14	Luke Jones	M	MPRO	14	3:51:34	0:25:53	0:02:25	2:05:37	0:01:52	1:15:46	US	
28c04036-d661-46f9-91d8-3392cf9be735	15	Andy Krueger	M	MPRO	15	3:52:46	0:25:46	0:02:05	2:05:35	0:01:50	1:17:30	US	
56d832b3-3705-4821-bf1a-36e9f19c7d1d	16	Isaac Diaz	M	MPRO	16	3:53:55	0:25:45	0:03:06	2:07:43	0:01:47	1:15:34	usa	
1e54bc04-a8ef-4e89-8f29-feeb5cb494df	17	Jeremy MacLean	M	MPRO	17	3:54:01	0:25:56	0:02:08	2:02:11	0:01:42	1:22:04	US	
b83acfd5-4eda-4883-8e58-077fa9d3cc21	18	Connor Ford	M	MPRO	18	3:54:27	0:27:14	0:02:41	2:06:19	0:02:02	1:16:12	US	
ed584577-5be3-4eb5-b888-55631ce13604	19	Filip Szymonik	M	MPRO	19	3:54:34	0:25:54	0:03:19	2:08:28	0:01:46	1:15:08	Poland	
686efa05-c84e-4da8-94d9-469ae8443573	20	Benjamin Deal	M	MPRO	20	3:54:56	0:26:17	0:02:50	2:07:37	0:01:39	1:16:33	US	
4dc37a2d-4c96-43f8-a45d-3cf12a8ba1fc	21	Rodrigo Gonzalez	M	MPRO	21	3:55:02	0:24:53	0:02:03	2:10:51	0:02:12	1:15:03	MX	
dc52a453-ef31-4096-8c1f-9453adc0c362	22	Mateo Reddy	M	MPRO	22	3:55:03	0:27:46	0:02:32	2:06:03	0:01:59	1:16:43	CH	
56be295e-c710-44d7-a0df-af73e4476f68	23	Robby Webster	M	MPRO	23	3:55:16	0:27:15	0:02:12	2:08:10	0:01:44	1:15:54	US	
