ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
500971	DNS	Rhoby Orata	M	M40-44	0							Philippines	DNS
89401	DNS	Raymond Posadas	M	M40-44	0							Philippines	DNS
89029	DNS	Mervin Santiago	M	M40-44	0							Philippines	DNS
352122	DNS	Uli Suratos	M	M40-44	0							United States	DNS
500946	DNS	Voltaire Uy	M	M40-44	0							Philippines	DNS
89077	DNS	David Almendral	M	M45-49	0							Philippines	DNS
81168	DNS	Michael Bond	M	M45-49	0							United States	DNS
500955	DNS	William Caluza	M	M45-49	0							Philippines	DNS
89264	DNS	Jose Antonio Caniza	M	M45-49	0							Philippines	DNS
229467	DNS	Phusit Chaichum	M	M45-49	0							Thailand	DNS
500949	DNS	Nigel Chen	M	M45-49	0							Philippines	DNS
89502	DNS	Kevin Corbin	M	M45-49	0							United States	DNS
500948	DNS	Marlon Daza	M	M45-49	0							Philippines	DNS
459680	DNS	JÃ¼ergen Doerr	M	M45-49	0							Germany	DNS
450698	DSQ	Blancher Frederic Francois	M	M45-49	0							France	DQ
90453	DNS	Dindo Guerrero	M	M45-49	0							Philippines	DNS
500985	DNS	Gourmel Anthony	M	M35-39	0							France	DNS
141552	DNS	Koichiro Inoue	M	M45-49	0							Japan	DNS
500972	DNS	Romain Barbier	M	M35-39	0							Andorra	DNS
89971	DSQ	Shuichi Kato	M	M45-49	0							Japan	DQ
89905	DNS	Constancio Jr Bernardes	M	M35-39	0							Philippines	DNS
90360	DNF	Victor Magno	M	M45-49	0		0:35:11	0:04:29	2:59:49			Philippines	DNF
500969	DNS	Juan Miguel Bondoc	M	M35-39	0							Philippines	DNS
213319	DNS	Jose Amado Mamuric	M	M45-49	0							Philippines	DNS
89248	DNS	Aristotle Cajucom	M	M35-39	0							Philippines	DNS
414635	DNS	Dom Penton	M	M45-49	0							United Kingdom	DNS
500944	DNS	Frederick Calica	M	M35-39	0							Philippines	DNS
213244	DNF	Gilbert Pilapil	M	M45-49	0		0:47:44	0:07:48	3:46:18	0:04:22	3:44:33	Philippines	DNF
