ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
967726	DNS	Kevin Mccaughey	M	M60-64								South Africa	DNS
967727	DNS	Izak Claasen	M	M30-34								South Africa	DNS
967728	DNS	Kristi Rehse	F	F35-39								South Africa	DNS
931288	DNF	Anastasia Tukmacheva	F	F35-39			0:16:04	0:04:37	3:00:52	0:03:54		Uzbekistan	DNF
967729	DNF	Christine Harding	F	F30-34			0:12:13	0:03:20	2:46:49	0:03:22		South Africa	DNF
967730	DNS	Rudi Witteveen	M	M60-64								South Africa	DNS
967731	DNF	Ryan Black	M	M35-39			0:15:46	0:06:36	3:38:03	0:08:39		South Africa	DNF
967732	DNS	Mirko Pineda	M	M35-39								South Africa	DNS
967733	DNS	Niël Terblanche	M	M25-29								South Africa	DNS
967734	DNS	Leanri Van Pletsen	F	F30-34								South Africa	DNS
967735	DNS	Jaco Viljoen	M	M40-44								South Africa	DNS
967736	DNS	Kelvin Massingham	M	M45-49								South Africa	DNS
967737	DNS	Ayanda Dakana	M	M40-44								South Africa	DNS
967738	DNS	Tiaan Jacobs	M	M35-39								South Africa	DNS
967739	DNS	Marius Ruben Lang	M	M25-29								South Africa	DNS
919726	DNS	Thana Groenewald	F	F18-24								South Africa	DNS
833973	DNS	Kyle-Ross Rehse	M	M35-39								South Africa	DNS
967740	DNS	Johan Koen	M	M35-39								South Africa	DNS
967741	DNS	Natasja Fox	F	F30-34								South Africa	DNS
967742	DNF	Selwyn Paterson	M	M50-54			0:21:31	0:20:25	4:51:59			South Africa	DNF
417148	DNS	David Swart	M	M50-54								South Africa	DNS
967743	DNS	Divan Henry Du Plooy	M	M18-24								Namibia	DNS
967744	DNS	Laurie Blake	M	M40-44								South Africa	DNS
967745	DNS	Marc Price	M	M40-44								South Africa	DNS
967746	DNS	Michael Bromilow	M	M50-54								South Africa	DNS
1069296	DNF	Nicolle Weir	F	F45-49			0:21:50	0:08:47				South Africa	DNF
877771	DNS	Mardeo Bezuidenhout	M	M35-39								South Africa	DNS
967748	DNS	Mohamed Asmal	M	M30-34								South Africa	DNS
967749	DNS	Jac Cilliers	M	M40-44								South Africa	DNS
967750	NC	Amber Morris	F	F30-34			0:18:45	0:08:40	4:52:10	0:07:39	3:58:48	South Africa	NC
967751	DNS	Natasha Lategan	F	F40-44								South Africa	DNS
967752	DNF	Charles Steyn	M	M30-34			0:16:56	0:10:43	3:20:23			South Africa	DNF
967753	DNS	Yurii Novikov	M	M45-49								Unknown	DNS
967754	DNF	Garry Babich	M	M55-59			0:16:15	0:07:53	3:32:02			South Africa	DNF
881949	DNS	Hein Pagnier	M	M45-49								South Africa	DNS
61288	DNS	Rogan Moore	M	M45-49								South Africa	DNS
967755	DSQ	Morne Maritz	M	M35-39								South Africa	DQ
967756	DNS	Rizel Stander	F	F40-44								South Africa	DNS
958239	DNS	Bruno De Decker	M	M55-59								Belgium	DNS
967757	DNS	Wilhelm Henning	M	M30-34								South Africa	DNS
958922	DNS	Claire Moorhouse	F	F40-44								South Africa	DNS
967758	DNS	Grant Moolman	M	M35-39								South Africa	DNS
967759	DNS	Eren Ramdhani	M	M40-44								South Africa	DNS
878014	DNS	Cathy Curtain	F	F50-54								South Africa	DNS
967760	DNS	Tyrone Voller	M	M55-59								South Africa	DNS
967761	DNS	Lowaldo Van Der Merwe	M	M35-39								South Africa	DNS
967762	DNS	Neil Nortje	M	M55-59								South Africa	DNS
967763	DNS	Erik Hansen	M	M50-54								South Africa	DNS
967764	DNS	Fasie Johannes Hendrik Grobbelaar	M	M45-49								South Africa	DNS
967765	DNS	Shaun Burrow	M	M40-44								South Africa	DNS
967766	DNS	Johan Ebertson	F	M55-59								South Africa	DNS
967767	DNS	Eamonn Mc Cann	M	M60-64								South Africa	DNS
967768	DNS	Gerrit Olivier	M	M55-59								South Africa	DNS
967769	DNF	Greg Fullard	M	M45-49			0:16:27	0:05:58	5:41:57			South Africa	DNF
967770	DNS	Reinecke Janse Van Rensburg	M	M40-44								South Africa	DNS
967771	NC	Achmat Ellie	M	M60-64			0:19:45	0:09:39	4:19:25	0:10:18	3:40:35	South Africa	NC
967772	DNS	Omair Haq	F	M30-34								Pakistan	DNS
967773	DNS	Ernst Schoeman	M	M30-34								South Africa	DNS
967774	DNS	Eugene De La Rouviere	M	M65-69								South Africa	DNS
967775	DNS	Jennifer Van Oerle	F	F50-54								South Africa	DNS
967776	DNS	Arthur Quphe	M	M40-44								South Africa	DNS
967777	DNS	Adele De La Rey	F	F45-49								Namibia	DNS
967778	DNS	Lorraine Holtzhausen	F	F40-44								South Africa	DNS
967779	DNS	Johan Snyman	M	M45-49								South Africa	DNS
967780	DNS	Rob Van Hille	M	M45-49								South Africa	DNS
967781	DNS	Ninja Sand Wallonius	F	F50-54								South Africa	DNS
967782	DNS	Nadia Plaatjies	F	F25-29								South Africa	DNS
967783	DNF	Mighael De Beer	M	M30-34			0:23:37	0:09:29	5:11:21			South Africa	DNF
61927	DNS	Hugo Van Niekerk	M	M40-44								South Africa	DNS
967784	DNS	Pamela Ann Black	F	F50-54								South Africa	DNS
603562	DNS	Peter Ljungberg	M	M55-59								Sweden	DNS
967785	DNS	Graeme Coetzee	M	M50-54								South Africa	DNS
967786	DNS	Pieter Steyn	M	M50-54								South Africa	DNS
967787	DNS	Vishal Rama	M	M30-34								South Africa	DNS
834110	DNS	Georg Langenhoven	M	M45-49								South Africa	DNS
967788	DNS	Sascha Lear	F	F30-34								South Africa	DNS
967789	DNS	John Considine	M	M50-54								South Africa	DNS
967790	DNS	Sarel Van Niekerk	M	M50-54								South Africa	DNS
