ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
61ce0aba-7c8f-4160-a344-1a70030c8296	1	Luke Creger	M	M25-29	1	4:08:38	0:31:25	0:04:02	2:11:18	0:02:08	1:19:44	USA	
7c265ce9-3574-4452-943f-8ba482f6d30f	2	Adam Goulet	M	MPRO	1	4:11:44	0:29:17	0:04:20	2:10:26	0:02:34	1:25:08	US	
5c5f9e5b-3d3f-4155-a0bc-adf86965e5a4	3	Gabriel Chalut	M	M18-24	1	4:12:57	0:29:34	0:03:08	2:14:01	0:01:26	1:24:48	CA	
7245b3f7-51ee-4f60-9aa0-8889266fa759	4	Preston Youngdahl	M	M30-34	1	4:15:25	0:28:52	0:04:05	2:08:50	0:01:42	1:31:56	US	
04f7a532-732f-43ca-93a5-ac7e9a1cfbf1	5	Jordan Yarbrough	M	M35-39	1	4:24:29	0:31:04	0:03:55	2:15:34	0:02:07	1:31:50	US	
49d5e57e-201f-4c5d-bd8b-783511b1598d	6	Caio Carvalho Ellero	M	M25-29	2	4:26:20	0:30:06	0:04:22	2:23:27	0:01:36	1:26:49	US	
b450003f-1ade-4e49-9a5b-8b2adf57bad6	7	Anthony Jordan	M	M35-39	2	4:26:57	0:34:09	0:04:05	2:25:03	0:01:29	1:22:10	US	
5d0186ed-cfb3-452c-b613-023b9403f6d1	8	Brendan Loehr	M	M45-49	1	4:26:59	0:32:36	0:03:26	2:17:11	0:01:27	1:32:19	US	
0f7b33e0-78bb-4257-bbff-ab6983387d74	9	Joshua Fritz	M	M25-29	3	4:29:31	0:27:31	0:04:32	2:18:20	0:02:15	1:36:54	US	
ecf33d26-d2b5-4fbc-8999-593a33e9c05c	10	Ernesto Fernandez	M	M35-39	3	4:29:46	0:32:07	0:04:09	2:18:20	0:02:17	1:32:53	PA	
031a6467-d04e-4f3a-a2d8-302b12b55414	11	Devin Sullivan	M	M25-29	4	4:30:45	0:29:41	0:04:15	2:21:15	0:01:25	1:34:08	USA	
da102fca-a0e0-40dc-b2fd-0557607685b9	12	Alex Sharp	M	M35-39	4	4:31:40	0:33:04	0:04:04	2:16:31	0:02:48	1:35:13		
b409a12e-4aa1-e911-a997-000d3a34ef1d	13	Andrew Logsdon	M	M25-29	5	4:33:24	0:28:54	0:03:32	2:15:24	0:02:12	1:43:21	US	
72b0aa62-5a50-4a34-9161-1415b80b9907	14	Eric Moser	M	M30-34	2	4:33:39	0:29:46	0:03:54	2:20:53	0:01:52	1:37:14		
ce0c3f2e-2f33-4ffc-b067-1fef8dcb4993	15	Daniel Bethancourt Jimenez	M	M25-29	6	4:34:27	0:39:34	0:04:21	2:24:31	0:01:51	1:24:10	US	
c4f389db-7491-4f7d-be5d-11615359553c	16	Tyler Blackburn	M	M30-34	3	4:35:20	0:27:24	0:03:37	2:32:20	0:03:15	1:28:43	US	
f972f09e-7363-499c-9323-0c12bc99653e	17	Nathan Stringer	M	M18-24	2	4:35:36	0:37:07	0:04:32	2:23:26	0:02:23	1:28:07		
b831b1fd-20ca-49b9-939f-c9d73bbbe3c6	18	Rick Arellano	M	M25-29	7	4:36:38	0:33:38	0:04:13	2:22:10	0:02:07	1:34:31	US	
0ad94381-1572-ee11-9ae7-000d3a314c24	19	Brett Vancise	M	M35-39	5	4:38:28	0:36:16	0:04:31	2:23:25	0:01:54	1:32:22	CA	
1dd4fce2-c70f-4a22-a65c-98288e7d57a3	20	Evan Oconnor	M	M35-39	6	4:40:26	0:37:54	0:03:32	2:15:56	0:01:57	1:41:07	US	
dbf5d197-36b7-414d-a943-3306c048e476	21	Romulo Osorio	M	M25-29	8	4:41:25	0:35:24	0:04:02	2:22:02	0:01:54	1:38:02	US	
0f7b4ee2-3204-4985-8e24-1fe3cc206c4e	22	Ryan Celestain	M	M40-44	1	4:41:47	0:36:13	0:03:49	2:26:50	0:02:07	1:32:47	US	
ea63cd51-92e1-eb11-bacb-002248092851	23	Lane Monroe	M	M18-24	3	4:42:49	0:27:54	0:04:06	2:18:27	0:02:15	1:50:07	US	
